Number	Timestamp	Latitude	Longitude	Country
##  1	ABLE	M = 39	SNBR =  804
1	15-May-1951 06:00:00	28.0	64.6	N/A
1	15-May-1951 12:00:00	30.0	66.5	N/A
1	15-May-1951 18:00:00	30.8	67.1	N/A
1	16-May-1951 00:00:00	31.4	68.5	N/A
1	16-May-1951 06:00:00	31.9	70.8	N/A
1	16-May-1951 12:00:00	31.8	73.2	N/A
1	16-May-1951 18:00:00	31.0	75.3	N/A
1	17-May-1951 00:00:00	30.1	77.1	N/A
1	17-May-1951 06:00:00	29.4	78.2	N/A
1	17-May-1951 12:00:00	28.7	78.6	N/A
1	17-May-1951 18:00:00	28.0	78.8	N/A
1	18-May-1951 00:00:00	27.3	78.7	N/A
1	18-May-1951 06:00:00	26.9	78.2	N/A
1	18-May-1951 12:00:00	27.0	77.7	N/A
1	18-May-1951 18:00:00	27.2	77.3	N/A
1	19-May-1951 00:00:00	27.4	77.0	N/A
1	19-May-1951 06:00:00	27.7	76.7	N/A
1	19-May-1951 12:00:00	28.1	76.3	N/A
1	19-May-1951 18:00:00	28.8	76.0	N/A
1	20-May-1951 00:00:00	29.7	75.8	N/A
1	20-May-1951 06:00:00	30.6	75.6	N/A
1	20-May-1951 12:00:00	31.5	75.4	N/A
1	20-May-1951 18:00:00	32.4	75.3	N/A
1	21-May-1951 00:00:00	33.2	75.2	N/A
1	21-May-1951 06:00:00	34.4	74.7	N/A
1	21-May-1951 12:00:00	35.5	74.2	N/A
1	21-May-1951 18:00:00	35.9	73.6	N/A
1	22-May-1951 00:00:00	36.2	73.0	N/A
1	22-May-1951 06:00:00	36.5	72.2	N/A
1	22-May-1951 12:00:00	36.6	71.2	N/A
1	22-May-1951 18:00:00	36.6	70.2	N/A
1	23-May-1951 00:00:00	36.5	69.0	N/A
1	23-May-1951 06:00:00	36.4	67.0	N/A
1	23-May-1951 12:00:00	36.5	65.0	N/A
1	23-May-1951 18:00:00	37.1	63.6	N/A
1	24-May-1951 00:00:00	37.9	62.3	N/A
1	24-May-1951 06:00:00	38.7	61.2	N/A
