Number	Timestamp	Latitude	Longitude	Country
##  1	ARLENE	M = 11	SNBR = 1096
1	06-May-1981 18:00:00	18.4	83.6	N/A
1	07-May-1981 00:00:00	18.4	82.7	N/A
1	07-May-1981 06:00:00	18.6	81.7	N/A
1	07-May-1981 12:00:00	19.0	80.6	N/A
1	07-May-1981 18:00:00	19.6	79.7	N/A
1	08-May-1981 00:00:00	20.3	78.7	N/A
1	08-May-1981 06:00:00	21.1	77.4	Cuba
1	08-May-1981 12:00:00	22.4	76.4	N/A
1	08-May-1981 18:00:00	23.0	74.5	N/A
1	09-May-1981 00:00:00	23.4	72.8	N/A
1	09-May-1981 06:00:00	24.0	71.0	N/A
##  2	BRET	M = 9	SNBR = 1097
2	29-Jun-1981 12:00:00	36.0	65.0	N/A
2	29-Jun-1981 18:00:00	36.0	67.0	N/A
2	30-Jun-1981 00:00:00	36.0	69.0	N/A
2	30-Jun-1981 06:00:00	36.0	71.0	N/A
2	30-Jun-1981 12:00:00	36.0	72.5	N/A
2	30-Jun-1981 18:00:00	36.2	73.8	N/A
2	01-Jul-1981 00:00:00	36.6	74.7	N/A
2	01-Jul-1981 06:00:00	37.4	76.0	N/A
2	01-Jul-1981 12:00:00	38.5	78.5	United States
##  3	CINDY	M = 12	SNBR = 1098
3	02-Aug-1981 18:00:00	36.1	67.8	N/A
3	03-Aug-1981 00:00:00	36.7	67.1	N/A
3	03-Aug-1981 06:00:00	37.4	66.2	N/A
3	03-Aug-1981 12:00:00	38.3	65.7	N/A
3	03-Aug-1981 18:00:00	38.7	64.9	N/A
3	04-Aug-1981 00:00:00	39.0	63.8	N/A
3	04-Aug-1981 06:00:00	39.4	62.2	N/A
3	04-Aug-1981 12:00:00	40.4	60.7	N/A
3	04-Aug-1981 18:00:00	41.3	58.4	N/A
3	05-Aug-1981 00:00:00	42.2	55.7	N/A
3	05-Aug-1981 06:00:00	43.3	52.7	N/A
3	05-Aug-1981 12:00:00	44.1	50.4	N/A
##  4	DENNIS	M = 60	SNBR = 1099
4	07-Aug-1981 06:00:00	10.5	25.7	N/A
4	07-Aug-1981 12:00:00	10.8	28.1	N/A
4	07-Aug-1981 18:00:00	11.0	29.6	N/A
4	08-Aug-1981 00:00:00	11.3	31.3	N/A
4	08-Aug-1981 06:00:00	11.7	33.1	N/A
4	08-Aug-1981 12:00:00	12.0	35.0	N/A
4	08-Aug-1981 18:00:00	12.5	36.7	N/A
4	09-Aug-1981 00:00:00	12.8	38.7	N/A
4	09-Aug-1981 06:00:00	13.1	40.8	N/A
4	09-Aug-1981 12:00:00	13.3	43.0	N/A
4	09-Aug-1981 18:00:00	13.5	45.0	N/A
4	10-Aug-1981 00:00:00	13.5	47.0	N/A
4	10-Aug-1981 06:00:00	13.5	49.0	N/A
4	10-Aug-1981 12:00:00	13.5	51.0	N/A
4	10-Aug-1981 18:00:00	13.6	52.9	N/A
4	11-Aug-1981 00:00:00	13.8	54.9	N/A
4	11-Aug-1981 06:00:00	14.0	56.5	N/A
4	11-Aug-1981 12:00:00	14.3	58.3	N/A
4	11-Aug-1981 18:00:00	14.6	60.1	N/A
4	12-Aug-1981 00:00:00	14.9	61.9	N/A
4	12-Aug-1981 06:00:00	15.2	63.8	N/A
4	12-Aug-1981 12:00:00	15.4	65.7	N/A
4	12-Aug-1981 18:00:00	15.6	67.6	N/A
4	13-Aug-1981 00:00:00	15.8	69.5	N/A
4	13-Aug-1981 06:00:00	15.9	71.2	N/A
4	13-Aug-1981 12:00:00	16.1	72.8	N/A
4	13-Aug-1981 18:00:00	16.4	74.4	N/A
4	14-Aug-1981 00:00:00	16.8	75.7	N/A
4	14-Aug-1981 06:00:00	17.4	77.0	N/A
4	14-Aug-1981 12:00:00	18.0	78.0	N/A
4	14-Aug-1981 18:00:00	18.8	78.8	N/A
4	15-Aug-1981 00:00:00	19.5	79.5	N/A
4	15-Aug-1981 06:00:00	20.3	80.0	N/A
4	15-Aug-1981 12:00:00	21.0	80.5	N/A
4	15-Aug-1981 18:00:00	21.7	80.8	N/A
4	16-Aug-1981 00:00:00	22.4	81.0	Cuba
4	16-Aug-1981 06:00:00	23.0	81.2	Cuba
4	16-Aug-1981 12:00:00	23.8	81.4	N/A
