Number	Timestamp	Latitude	Longitude	Country
##  1	NOT NAMED	M = 14	SNBR =  212
1	01-Aug-1881 00:00:00	23.0	85.5	N/A
1	01-Aug-1881 06:00:00	23.5	85.8	N/A
1	01-Aug-1881 12:00:00	24.0	86.0	N/A
1	01-Aug-1881 18:00:00	24.6	86.3	N/A
1	02-Aug-1881 00:00:00	25.2	86.6	N/A
1	02-Aug-1881 06:00:00	26.1	86.8	N/A
1	02-Aug-1881 12:00:00	27.0	87.0	N/A
1	02-Aug-1881 18:00:00	27.7	87.4	N/A
1	03-Aug-1881 00:00:00	28.5	87.8	N/A
1	03-Aug-1881 06:00:00	29.3	88.1	N/A
1	03-Aug-1881 12:00:00	30.1	88.3	N/A
1	03-Aug-1881 18:00:00	30.9	88.4	United States
1	04-Aug-1881 00:00:00	31.5	88.6	United States
1	04-Aug-1881 06:00:00	32.0	88.8	United States
##  2	NOT NAMED	M = 14	SNBR =  213
2	11-Aug-1881 12:00:00	25.6	88.7	N/A
2	11-Aug-1881 18:00:00	25.6	89.6	N/A
2	12-Aug-1881 00:00:00	25.6	90.5	N/A
2	12-Aug-1881 06:00:00	25.7	91.5	N/A
2	12-Aug-1881 12:00:00	25.8	92.4	N/A
2	12-Aug-1881 18:00:00	26.1	93.4	N/A
2	13-Aug-1881 00:00:00	26.4	94.3	N/A
2	13-Aug-1881 06:00:00	26.8	95.2	N/A
2	13-Aug-1881 12:00:00	27.2	95.8	N/A
2	13-Aug-1881 18:00:00	27.7	96.6	N/A
2	14-Aug-1881 00:00:00	28.3	97.2	United States
2	14-Aug-1881 06:00:00	28.9	97.7	United States
2	14-Aug-1881 12:00:00	29.6	98.3	United States
2	14-Aug-1881 18:00:00	30.8	99.0	United States
##  3	NOT NAMED	M = 32	SNBR =  214
3	11-Aug-1881 00:00:00	16.0	31.0	N/A
3	11-Aug-1881 06:00:00	16.0	32.0	N/A
3	11-Aug-1881 12:00:00	16.0	33.0	N/A
3	11-Aug-1881 18:00:00	16.0	34.0	N/A
3	12-Aug-1881 00:00:00	16.1	35.3	N/A
3	12-Aug-1881 06:00:00	16.2	36.4	N/A
3	12-Aug-1881 12:00:00	16.2	37.3	N/A
3	12-Aug-1881 18:00:00	16.5	38.5	N/A
3	13-Aug-1881 00:00:00	16.7	39.7	N/A
3	13-Aug-1881 06:00:00	17.2	40.9	N/A
3	13-Aug-1881 12:00:00	17.7	41.7	N/A
3	13-Aug-1881 18:00:00	18.2	42.8	N/A
3	14-Aug-1881 00:00:00	18.7	43.7	N/A
3	14-Aug-1881 06:00:00	19.4	44.7	N/A
3	14-Aug-1881 12:00:00	20.0	45.5	N/A
3	14-Aug-1881 18:00:00	20.9	46.4	N/A
3	15-Aug-1881 00:00:00	21.7	47.0	N/A
3	15-Aug-1881 06:00:00	22.5	47.8	N/A
3	15-Aug-1881 12:00:00	23.2	48.5	N/A
3	15-Aug-1881 18:00:00	24.1	49.0	N/A
3	16-Aug-1881 00:00:00	24.7	49.5	N/A
3	16-Aug-1881 06:00:00	25.8	50.0	N/A
3	16-Aug-1881 12:00:00	26.7	50.5	N/A
3	16-Aug-1881 18:00:00	27.7	50.9	N/A
3	17-Aug-1881 00:00:00	28.6	51.2	N/A
