Number	Timestamp	Latitude	Longitude	Country
##  1	NOT NAMED	M = 28	SNBR =   61
1	06-Jul-1861 00:00:00	15.1	58.5	N/A
1	06-Jul-1861 06:00:00	15.5	59.3	N/A
1	06-Jul-1861 12:00:00	15.8	60.1	N/A
1	06-Jul-1861 18:00:00	16.2	60.9	N/A
1	07-Jul-1861 00:00:00	16.7	61.6	N/A
1	07-Jul-1861 06:00:00	17.4	62.4	N/A
1	07-Jul-1861 12:00:00	18.0	63.1	N/A
1	07-Jul-1861 18:00:00	18.6	63.8	N/A
1	08-Jul-1861 00:00:00	19.4	64.6	N/A
1	08-Jul-1861 06:00:00	20.2	65.5	N/A
1	08-Jul-1861 12:00:00	21.2	66.1	N/A
1	08-Jul-1861 18:00:00	22.1	66.6	N/A
1	09-Jul-1861 00:00:00	23.1	67.4	N/A
1	09-Jul-1861 06:00:00	24.0	67.9	N/A
1	09-Jul-1861 12:00:00	25.0	68.4	N/A
1	09-Jul-1861 18:00:00	26.0	68.9	N/A
1	10-Jul-1861 00:00:00	26.9	69.3	N/A
1	10-Jul-1861 06:00:00	27.8	69.6	N/A
1	10-Jul-1861 12:00:00	28.7	70.0	N/A
1	10-Jul-1861 18:00:00	29.5	70.1	N/A
1	11-Jul-1861 00:00:00	30.1	70.1	N/A
1	11-Jul-1861 06:00:00	30.7	70.1	N/A
1	11-Jul-1861 12:00:00	31.4	70.0	N/A
1	11-Jul-1861 18:00:00	32.5	69.6	N/A
1	12-Jul-1861 00:00:00	33.9	69.3	N/A
1	12-Jul-1861 06:00:00	35.0	68.8	N/A
1	12-Jul-1861 12:00:00	36.0	68.0	N/A
1	12-Jul-1861 18:00:00	37.0	67.0	N/A
##  2	NOT NAMED	M = 18	SNBR =   62
2	13-Aug-1861 12:00:00	20.5	70.0	N/A
2	13-Aug-1861 18:00:00	21.0	71.5	N/A
2	14-Aug-1861 00:00:00	21.5	73.0	Bahamas
2	14-Aug-1861 06:00:00	22.0	74.5	N/A
2	14-Aug-1861 12:00:00	22.5	76.0	N/A
2	14-Aug-1861 18:00:00	22.9	77.4	N/A
2	15-Aug-1861 00:00:00	23.2	78.7	N/A
2	15-Aug-1861 06:00:00	23.5	79.9	N/A
2	15-Aug-1861 12:00:00	23.7	80.8	N/A
2	15-Aug-1861 18:00:00	23.9	81.5	N/A
2	16-Aug-1861 00:00:00	24.2	82.0	N/A
2	16-Aug-1861 06:00:00	24.6	82.5	N/A
2	16-Aug-1861 12:00:00	25.0	83.0	N/A
2	16-Aug-1861 18:00:00	25.4	83.5	N/A
2	17-Aug-1861 00:00:00	25.8	84.0	N/A
2	17-Aug-1861 06:00:00	26.2	84.5	N/A
2	17-Aug-1861 12:00:00	26.6	85.0	N/A
