Number	Timestamp	Latitude	Longitude	Country
##  1	NOT NAMED	M = 43	SNBR =  522
1	16-Jun-1921 00:00:00	16.5	82.4	N/A
1	16-Jun-1921 06:00:00	16.5	83.2	N/A
1	16-Jun-1921 12:00:00	16.5	84.0	N/A
1	16-Jun-1921 18:00:00	16.5	84.7	N/A
1	17-Jun-1921 00:00:00	16.5	85.3	N/A
1	17-Jun-1921 06:00:00	16.7	86.0	N/A
1	17-Jun-1921 12:00:00	17.1	86.7	N/A
1	17-Jun-1921 18:00:00	17.7	87.7	N/A
1	18-Jun-1921 00:00:00	18.7	89.1	Mexico
1	18-Jun-1921 06:00:00	19.6	90.6	Mexico
1	18-Jun-1921 12:00:00	20.3	92.0	N/A
1	18-Jun-1921 18:00:00	20.8	93.0	N/A
1	19-Jun-1921 00:00:00	21.2	93.5	N/A
1	19-Jun-1921 06:00:00	21.6	93.8	N/A
1	19-Jun-1921 12:00:00	22.0	94.0	N/A
1	19-Jun-1921 18:00:00	22.4	94.2	N/A
1	20-Jun-1921 00:00:00	22.8	94.5	N/A
1	20-Jun-1921 06:00:00	23.2	94.7	N/A
1	20-Jun-1921 12:00:00	23.7	95.0	N/A
1	20-Jun-1921 18:00:00	24.2	95.2	N/A
1	21-Jun-1921 00:00:00	24.7	95.3	N/A
1	21-Jun-1921 06:00:00	25.1	95.4	N/A
1	21-Jun-1921 12:00:00	25.5	95.5	N/A
1	21-Jun-1921 18:00:00	26.0	95.6	N/A
1	22-Jun-1921 00:00:00	26.5	95.6	N/A
1	22-Jun-1921 06:00:00	27.0	95.7	N/A
1	22-Jun-1921 12:00:00	27.6	95.8	N/A
1	22-Jun-1921 18:00:00	28.5	95.9	N/A
1	23-Jun-1921 00:00:00	29.6	96.0	United States
1	23-Jun-1921 06:00:00	30.9	96.1	United States
1	23-Jun-1921 12:00:00	32.1	96.2	United States
1	23-Jun-1921 18:00:00	33.2	96.1	United States
1	24-Jun-1921 00:00:00	34.3	95.7	United States
