Number	Timestamp	Latitude	Longitude	Country
##  1	NOT NAMED	M = 23	SNBR =  706
1	11-Sep-1941 06:00:00	27.0	87.2	N/A
1	11-Sep-1941 12:00:00	27.5	87.7	N/A
1	11-Sep-1941 18:00:00	27.7	87.9	N/A
1	12-Sep-1941 00:00:00	27.9	88.2	N/A
1	12-Sep-1941 06:00:00	28.0	88.4	N/A
1	12-Sep-1941 12:00:00	28.0	88.8	N/A
1	12-Sep-1941 18:00:00	27.9	89.5	N/A
1	13-Sep-1941 00:00:00	27.9	90.4	N/A
1	13-Sep-1941 06:00:00	28.0	91.2	N/A
1	13-Sep-1941 12:00:00	28.1	91.8	N/A
1	13-Sep-1941 18:00:00	28.3	92.2	N/A
1	14-Sep-1941 00:00:00	28.6	92.5	N/A
1	14-Sep-1941 06:00:00	28.9	92.8	N/A
1	14-Sep-1941 12:00:00	29.2	93.2	N/A
1	14-Sep-1941 18:00:00	29.4	93.5	N/A
1	15-Sep-1941 00:00:00	29.6	93.8	N/A
1	15-Sep-1941 06:00:00	29.7	94.0	United States
1	15-Sep-1941 12:00:00	29.8	94.3	United States
1	15-Sep-1941 18:00:00	29.9	94.9	United States
1	16-Sep-1941 00:00:00	30.0	95.7	United States
1	16-Sep-1941 06:00:00	30.0	96.4	United States
1	16-Sep-1941 12:00:00	29.9	97.2	United States
1	16-Sep-1941 18:00:00	29.6	97.9	United States
##  2	NOT NAMED	M = 38	SNBR =  707
2	16-Sep-1941 12:00:00	25.7	83.6	N/A
2	16-Sep-1941 18:00:00	25.5	84.5	N/A
2	17-Sep-1941 00:00:00	25.2	85.4	N/A
2	17-Sep-1941 06:00:00	25.0	86.3	N/A
2	17-Sep-1941 12:00:00	24.7	87.1	N/A
2	17-Sep-1941 18:00:00	24.6	88.0	N/A
2	18-Sep-1941 00:00:00	24.8	88.9	N/A
2	18-Sep-1941 06:00:00	25.4	89.5	N/A
2	18-Sep-1941 12:00:00	25.9	89.6	N/A
2	18-Sep-1941 18:00:00	26.0	89.3	N/A
2	19-Sep-1941 00:00:00	26.0	88.9	N/A
2	19-Sep-1941 06:00:00	25.8	88.6	N/A
2	19-Sep-1941 12:00:00	25.6	88.3	N/A
2	19-Sep-1941 18:00:00	25.3	88.1	N/A
2	20-Sep-1941 00:00:00	24.9	88.0	N/A
2	20-Sep-1941 06:00:00	24.5	87.8	N/A
2	20-Sep-1941 12:00:00	24.1	87.6	N/A
2	20-Sep-1941 18:00:00	23.4	87.6	N/A
2	21-Sep-1941 00:00:00	23.0	88.2	N/A
2	21-Sep-1941 06:00:00	23.4	88.7	N/A
2	21-Sep-1941 12:00:00	24.0	89.2	N/A
2	21-Sep-1941 18:00:00	24.4	89.6	N/A
2	22-Sep-1941 00:00:00	24.9	90.0	N/A
2	22-Sep-1941 06:00:00	25.4	90.7	N/A
2	22-Sep-1941 12:00:00	25.9	91.6	N/A
2	22-Sep-1941 18:00:00	26.3	92.6	N/A
2	23-Sep-1941 00:00:00	26.6	93.7	N/A
2	23-Sep-1941 06:00:00	27.1	94.6	N/A
2	23-Sep-1941 12:00:00	27.7	95.3	N/A
2	23-Sep-1941 18:00:00	28.3	95.5	N/A
2	24-Sep-1941 00:00:00	29.0	95.5	United States
2	24-Sep-1941 06:00:00	29.8	95.4	United States
2	24-Sep-1941 12:00:00	31.6	94.7	United States
2	24-Sep-1941 18:00:00	34.3	92.7	United States
2	25-Sep-1941 00:00:00	36.9	90.9	United States
2	25-Sep-1941 06:00:00	39.5	88.2	United States
2	25-Sep-1941 12:00:00	42.2	85.5	United States
2	25-Sep-1941 18:00:00	44.5	82.8	United States
##  3	NOT NAMED	M = 31	SNBR =  708
3	18-Sep-1941 06:00:00	27.5	79.0	N/A
3	18-Sep-1941 12:00:00	29.0	78.1	N/A
3	18-Sep-1941 18:00:00	29.1	77.6	N/A
3	19-Sep-1941 00:00:00	29.2	77.0	N/A
3	19-Sep-1941 06:00:00	29.3	76.4	N/A
3	19-Sep-1941 12:00:00	29.3	75.6	N/A
3	19-Sep-1941 18:00:00	29.4	74.5	N/A
3	20-Sep-1941 00:00:00	29.5	73.3	N/A
3	20-Sep-1941 06:00:00	29.7	72.1	N/A
3	20-Sep-1941 12:00:00	29.9	70.9	N/A
3	20-Sep-1941 18:00:00	30.3	69.8	N/A
3	21-Sep-1941 00:00:00	29.9	69.4	N/A
3	21-Sep-1941 06:00:00	29.7	70.0	N/A
3	21-Sep-1941 12:00:00	30.2	70.8	N/A
3	21-Sep-1941 18:00:00	30.6	71.4	N/A
3	22-Sep-1941 00:00:00	30.9	71.9	N/A
3	22-Sep-1941 06:00:00	31.3	72.4	N/A
