Number	Timestamp	Latitude	Longitude	Country
##  1	ARLENE	M = 15	SNBR = 1000
1	04-Jul-1971 12:00:00	33.5	75.5	N/A
1	04-Jul-1971 18:00:00	34.0	75.2	N/A
1	05-Jul-1971 00:00:00	34.5	74.8	N/A
1	05-Jul-1971 06:00:00	35.2	74.3	N/A
1	05-Jul-1971 12:00:00	35.9	73.7	N/A
1	05-Jul-1971 18:00:00	36.7	72.9	N/A
1	06-Jul-1971 00:00:00	37.6	71.8	N/A
1	06-Jul-1971 06:00:00	38.5	70.1	N/A
1	06-Jul-1971 12:00:00	39.6	68.3	N/A
1	06-Jul-1971 18:00:00	40.7	65.9	N/A
1	07-Jul-1971 00:00:00	41.8	63.0	N/A
1	07-Jul-1971 06:00:00	43.1	59.5	N/A
1	07-Jul-1971 12:00:00	44.7	56.3	N/A
1	07-Jul-1971 18:00:00	46.5	53.0	N/A
1	08-Jul-1971 00:00:00	47.6	49.6	N/A
##  2	NOT NAMED	M = 17	SNBR = 1001
2	03-Aug-1971 12:00:00	31.0	63.5	N/A
2	03-Aug-1971 18:00:00	31.5	64.0	N/A
2	04-Aug-1971 00:00:00	32.0	64.5	N/A
2	04-Aug-1971 06:00:00	32.6	64.9	N/A
2	04-Aug-1971 12:00:00	33.5	65.0	N/A
2	04-Aug-1971 18:00:00	34.6	64.6	N/A
2	05-Aug-1971 00:00:00	36.0	63.5	N/A
2	05-Aug-1971 06:00:00	37.7	61.8	N/A
2	05-Aug-1971 12:00:00	39.5	60.0	N/A
2	05-Aug-1971 18:00:00	40.5	58.5	N/A
2	06-Aug-1971 00:00:00	41.5	56.0	N/A
2	06-Aug-1971 06:00:00	43.4	52.6	N/A
2	06-Aug-1971 12:00:00	46.0	49.0	N/A
2	06-Aug-1971 18:00:00	50.0	46.0	N/A
2	07-Aug-1971 00:00:00	53.0	45.0	N/A
2	07-Aug-1971 06:00:00	55.7	43.8	N/A
2	07-Aug-1971 12:00:00	58.0	43.0	N/A
##  3	BETH	M = 29	SNBR = 1002
3	10-Aug-1971 12:00:00	26.7	79.9	N/A
3	10-Aug-1971 18:00:00	26.8	79.3	N/A
3	11-Aug-1971 00:00:00	27.4	78.5	N/A
3	11-Aug-1971 06:00:00	28.0	78.3	N/A
3	11-Aug-1971 12:00:00	28.8	78.1	N/A
3	11-Aug-1971 18:00:00	29.7	77.7	N/A
3	12-Aug-1971 00:00:00	30.7	77.2	N/A
3	12-Aug-1971 06:00:00	31.5	76.7	N/A
3	12-Aug-1971 12:00:00	32.3	76.3	N/A
3	12-Aug-1971 18:00:00	32.7	76.0	N/A
3	13-Aug-1971 00:00:00	33.2	75.3	N/A
3	13-Aug-1971 06:00:00	33.3	74.7	N/A
3	13-Aug-1971 12:00:00	33.5	74.1	N/A
3	13-Aug-1971 18:00:00	33.7	73.5	N/A
3	14-Aug-1971 00:00:00	33.9	73.1	N/A
3	14-Aug-1971 06:00:00	34.2	72.7	N/A
3	14-Aug-1971 12:00:00	34.4	72.3	N/A
3	14-Aug-1971 18:00:00	35.8	71.0	N/A
3	15-Aug-1971 00:00:00	37.2	69.9	N/A
3	15-Aug-1971 06:00:00	38.4	68.5	N/A
3	15-Aug-1971 12:00:00	39.7	67.2	N/A
3	15-Aug-1971 18:00:00	40.8	65.8	N/A
3	16-Aug-1971 00:00:00	42.0	64.5	N/A
3	16-Aug-1971 06:00:00	43.2	63.3	N/A
3	16-Aug-1971 12:00:00	44.0	62.5	N/A
3	16-Aug-1971 18:00:00	45.3	61.5	Canada
3	17-Aug-1971 00:00:00	46.7	60.2	N/A
3	17-Aug-1971 06:00:00	48.3	59.0	N/A
3	17-Aug-1971 12:00:00	49.5	57.7	Canada
##  4	CHLOE	M = 29	SNBR = 1003
4	18-Aug-1971 12:00:00	13.0	52.5	N/A
4	18-Aug-1971 18:00:00	13.2	55.0	N/A
4	19-Aug-1971 00:00:00	13.5	57.0	N/A
4	19-Aug-1971 06:00:00	13.8	59.0	N/A
4	19-Aug-1971 12:00:00	14.0	60.7	N/A
4	19-Aug-1971 18:00:00	14.2	62.0	N/A
4	20-Aug-1971 00:00:00	14.3	63.5	N/A
4	20-Aug-1971 06:00:00	14.8	65.0	N/A
4	20-Aug-1971 12:00:00	15.0	66.5	N/A
4	20-Aug-1971 18:00:00	15.4	67.7	N/A
4	21-Aug-1971 00:00:00	16.0	69.5	N/A
4	21-Aug-1971 06:00:00	16.0	71.5	N/A
4	21-Aug-1971 12:00:00	15.5	73.5	N/A
4	21-Aug-1971 18:00:00	15.0	75.0	N/A
4	22-Aug-1971 00:00:00	14.8	76.0	N/A
4	22-Aug-1971 06:00:00	14.8	77.0	N/A
4	22-Aug-1971 12:00:00	15.0	78.0	N/A
4	22-Aug-1971 18:00:00	15.2	79.0	N/A
4	23-Aug-1971 00:00:00	15.6	80.0	N/A
4	23-Aug-1971 06:00:00	16.0	81.0	N/A
4	23-Aug-1971 12:00:00	16.5	82.0	N/A
4	23-Aug-1971 18:00:00	17.0	83.0	N/A
4	24-Aug-1971 00:00:00	17.4	84.0	N/A
4	24-Aug-1971 06:00:00	17.8	85.0	N/A
4	24-Aug-1971 12:00:00	17.9	86.0	N/A
4	24-Aug-1971 18:00:00	18.0	86.8	N/A
4	25-Aug-1971 00:00:00	18.0	87.5	N/A
4	25-Aug-1971 06:00:00	18.0	88.0	Belize
4	25-Aug-1971 12:00:00	18.0	88.5	Belize
##  5	DORIA	M = 36	SNBR = 1004
5	20-Aug-1971 12:00:00	11.5	47.0	N/A
5	20-Aug-1971 18:00:00	11.6	48.0	N/A
5	21-Aug-1971 00:00:00	11.7	49.0	N/A
5	21-Aug-1971 06:00:00	11.8	50.0	N/A
5	21-Aug-1971 12:00:00	12.0	51.0	N/A
5	21-Aug-1971 18:00:00	12.2	52.2	N/A
5	22-Aug-1971 00:00:00	12.8	53.4	N/A
5	22-Aug-1971 06:00:00	13.2	54.8	N/A
5	22-Aug-1971 12:00:00	14.0	56.0	N/A
5	22-Aug-1971 18:00:00	14.8	57.5	N/A
5	23-Aug-1971 00:00:00	15.7	59.0	N/A
5	23-Aug-1971 06:00:00	16.5	60.8	N/A
5	23-Aug-1971 12:00:00	17.3	62.4	N/A
5	23-Aug-1971 18:00:00	18.0	64.0	Virgin Islands, U.S.
5	24-Aug-1971 00:00:00	18.6	65.4	N/A
5	24-Aug-1971 06:00:00	19.2	66.9	N/A
5	24-Aug-1971 12:00:00	19.8	68.3	N/A
5	24-Aug-1971 18:00:00	20.4	69.8	N/A
5	25-Aug-1971 00:00:00	21.0	71.0	N/A
5	25-Aug-1971 06:00:00	21.8	72.2	N/A
5	25-Aug-1971 12:00:00	22.5	73.2	N/A
5	25-Aug-1971 18:00:00	23.2	74.2	N/A
5	26-Aug-1971 00:00:00	24.2	75.1	N/A
5	26-Aug-1971 06:00:00	25.4	75.6	N/A
5	26-Aug-1971 12:00:00	26.8	76.4	N/A
5	26-Aug-1971 18:00:00	28.2	77.0	N/A
5	27-Aug-1971 00:00:00	29.2	77.2	N/A
5	27-Aug-1971 06:00:00	31.0	77.2	N/A
5	27-Aug-1971 12:00:00	32.8	77.2	N/A
5	27-Aug-1971 18:00:00	34.8	76.8	United States
5	28-Aug-1971 00:00:00	36.5	76.5	United States
5	28-Aug-1971 06:00:00	38.5	75.3	United States
5	28-Aug-1971 12:00:00	41.2	73.7	United States
5	28-Aug-1971 18:00:00	43.8	71.8	United States
5	29-Aug-1971 00:00:00	46.0	70.0	United States
5	29-Aug-1971 06:00:00	48.0	68.0	Canada
##  6	EDITH	M = 51	SNBR = 1005
6	05-Sep-1971 18:00:00	11.4	58.0	N/A
