Number	Timestamp	Latitude	Longitude	Country
##  1	NOT NAMED	M = 20	SNBR =  137
1	01-Jun-1871 00:00:00	24.1	81.0	N/A
1	01-Jun-1871 06:00:00	24.1	82.1	N/A
1	01-Jun-1871 12:00:00	24.2	83.6	N/A
1	01-Jun-1871 18:00:00	24.7	84.6	N/A
1	02-Jun-1871 00:00:00	25.2	85.4	N/A
1	02-Jun-1871 06:00:00	25.8	86.1	N/A
1	02-Jun-1871 12:00:00	26.1	87.3	N/A
1	02-Jun-1871 18:00:00	26.5	88.6	N/A
1	03-Jun-1871 00:00:00	26.8	89.8	N/A
1	03-Jun-1871 06:00:00	27.0	91.1	N/A
1	03-Jun-1871 12:00:00	27.3	92.4	N/A
1	03-Jun-1871 18:00:00	27.7	93.3	N/A
1	04-Jun-1871 00:00:00	28.2	94.1	N/A
1	04-Jun-1871 06:00:00	28.9	95.0	N/A
1	04-Jun-1871 12:00:00	29.7	95.6	United States
1	04-Jun-1871 18:00:00	30.3	96.0	United States
1	05-Jun-1871 00:00:00	31.1	96.1	United States
1	05-Jun-1871 06:00:00	32.0	96.1	United States
1	05-Jun-1871 12:00:00	33.2	95.8	United States
1	05-Jun-1871 18:00:00	35.0	95.0	United States
##  2	NOT NAMED	M = 12	SNBR =  138
2	08-Jun-1871 00:00:00	23.4	90.4	N/A
2	08-Jun-1871 06:00:00	24.2	91.1	N/A
2	08-Jun-1871 12:00:00	25.0	91.8	N/A
2	08-Jun-1871 18:00:00	25.9	92.6	N/A
2	09-Jun-1871 00:00:00	26.7	93.3	N/A
2	09-Jun-1871 06:00:00	27.4	94.0	N/A
2	09-Jun-1871 12:00:00	28.3	94.6	N/A
2	09-Jun-1871 18:00:00	29.3	95.0	United States
2	10-Jun-1871 00:00:00	30.3	95.1	United States
2	10-Jun-1871 06:00:00	31.3	95.1	United States
2	10-Jun-1871 12:00:00	32.4	95.0	United States
2	10-Jun-1871 18:00:00	33.5	95.0	United States
##  3	NOT NAMED	M = 40	SNBR =  139
3	14-Aug-1871 00:00:00	26.5	72.4	N/A
3	14-Aug-1871 06:00:00	26.6	73.0	N/A
3	14-Aug-1871 12:00:00	26.7	73.6	N/A
3	14-Aug-1871 18:00:00	26.7	74.3	N/A
3	15-Aug-1871 00:00:00	26.8	75.0	N/A
3	15-Aug-1871 06:00:00	26.8	75.8	N/A
3	15-Aug-1871 12:00:00	26.8	76.7	N/A
3	15-Aug-1871 18:00:00	26.8	77.7	N/A
3	16-Aug-1871 00:00:00	26.8	78.5	N/A
3	16-Aug-1871 06:00:00	26.8	79.1	N/A
3	16-Aug-1871 12:00:00	26.8	79.5	N/A
