Number	Timestamp	Latitude	Longitude	Country
##  1	ANNA	M = 20	SNBR =  902
1	20-Jul-1961 00:00:00	11.5	60.2	N/A
1	20-Jul-1961 06:00:00	11.7	62.0	N/A
1	20-Jul-1961 12:00:00	11.9	63.8	N/A
1	20-Jul-1961 18:00:00	12.4	65.7	N/A
1	21-Jul-1961 00:00:00	13.0	67.2	N/A
1	21-Jul-1961 06:00:00	13.2	69.5	N/A
1	21-Jul-1961 12:00:00	13.4	71.5	N/A
1	21-Jul-1961 18:00:00	13.7	73.3	N/A
1	22-Jul-1961 00:00:00	13.7	74.7	N/A
1	22-Jul-1961 06:00:00	14.0	76.6	N/A
1	22-Jul-1961 12:00:00	14.5	78.2	N/A
1	22-Jul-1961 18:00:00	15.2	79.7	N/A
1	23-Jul-1961 00:00:00	15.2	81.4	N/A
1	23-Jul-1961 06:00:00	15.3	82.9	N/A
1	23-Jul-1961 12:00:00	15.8	84.3	Honduras
1	23-Jul-1961 18:00:00	16.0	85.7	N/A
1	24-Jul-1961 00:00:00	16.1	86.4	N/A
1	24-Jul-1961 06:00:00	16.3	87.5	N/A
1	24-Jul-1961 12:00:00	16.6	88.3	N/A
1	24-Jul-1961 18:00:00	16.9	89.1	Belize
##  2	BETSY	M = 41	SNBR =  903
2	02-Sep-1961 06:00:00	13.3	41.7	N/A
2	02-Sep-1961 12:00:00	13.8	42.8	N/A
2	02-Sep-1961 18:00:00	14.3	43.6	N/A
2	03-Sep-1961 00:00:00	14.8	44.5	N/A
2	03-Sep-1961 06:00:00	15.2	45.6	N/A
2	03-Sep-1961 12:00:00	15.9	46.7	N/A
2	03-Sep-1961 18:00:00	17.0	48.1	N/A
2	04-Sep-1961 00:00:00	18.2	49.1	N/A
2	04-Sep-1961 06:00:00	19.5	49.8	N/A
2	04-Sep-1961 12:00:00	20.5	50.2	N/A
2	04-Sep-1961 18:00:00	22.0	50.2	N/A
2	05-Sep-1961 00:00:00	23.2	50.6	N/A
2	05-Sep-1961 06:00:00	24.5	51.4	N/A
2	05-Sep-1961 12:00:00	25.6	52.3	N/A
2	05-Sep-1961 18:00:00	26.9	52.9	N/A
