Number	Timestamp	Windspeed
##  1	NOT NAMED	M = 20	SNBR =  137
1	01-Jun-1871 00:00:00	46
1	01-Jun-1871 06:00:00	46
1	01-Jun-1871 12:00:00	46
1	01-Jun-1871 18:00:00	46
1	02-Jun-1871 00:00:00	58
1	02-Jun-1871 06:00:00	58
1	02-Jun-1871 12:00:00	58
1	02-Jun-1871 18:00:00	58
1	03-Jun-1871 00:00:00	58
1	03-Jun-1871 06:00:00	58
1	03-Jun-1871 12:00:00	58
1	03-Jun-1871 18:00:00	58
1	04-Jun-1871 00:00:00	58
1	04-Jun-1871 06:00:00	58
1	04-Jun-1871 12:00:00	46
1	04-Jun-1871 18:00:00	46
1	05-Jun-1871 00:00:00	46
1	05-Jun-1871 06:00:00	46
1	05-Jun-1871 12:00:00	35
1	05-Jun-1871 18:00:00	35
##  2	NOT NAMED	M = 12	SNBR =  138
2	08-Jun-1871 00:00:00	46
2	08-Jun-1871 06:00:00	46
2	08-Jun-1871 12:00:00	46
2	08-Jun-1871 18:00:00	46
2	09-Jun-1871 00:00:00	58
2	09-Jun-1871 06:00:00	58
2	09-Jun-1871 12:00:00	58
2	09-Jun-1871 18:00:00	58
2	10-Jun-1871 00:00:00	46
2	10-Jun-1871 06:00:00	46
2	10-Jun-1871 12:00:00	35
2	10-Jun-1871 18:00:00	35
##  3	NOT NAMED	M = 40	SNBR =  139
3	14-Aug-1871 00:00:00	92
3	14-Aug-1871 06:00:00	92
3	14-Aug-1871 12:00:00	92
3	14-Aug-1871 18:00:00	92
3	15-Aug-1871 00:00:00	104
3	15-Aug-1871 06:00:00	104
3	15-Aug-1871 12:00:00	115
3	15-Aug-1871 18:00:00	115
3	16-Aug-1871 00:00:00	115
3	16-Aug-1871 06:00:00	115
3	16-Aug-1871 12:00:00	115
3	16-Aug-1871 18:00:00	115
3	17-Aug-1871 00:00:00	115
3	17-Aug-1871 06:00:00	104
3	17-Aug-1871 12:00:00	92
3	17-Aug-1871 18:00:00	81
3	18-Aug-1871 00:00:00	81
3	18-Aug-1871 06:00:00	69
3	18-Aug-1871 12:00:00	69
3	18-Aug-1871 18:00:00	58
3	19-Aug-1871 00:00:00	58
3	19-Aug-1871 06:00:00	69
3	19-Aug-1871 12:00:00	69
3	19-Aug-1871 18:00:00	69
3	20-Aug-1871 00:00:00	69
3	20-Aug-1871 06:00:00	69
3	20-Aug-1871 12:00:00	69
3	20-Aug-1871 18:00:00	69
3	21-Aug-1871 00:00:00	69
3	21-Aug-1871 06:00:00	69
3	21-Aug-1871 12:00:00	69
3	21-Aug-1871 18:00:00	69
3	22-Aug-1871 00:00:00	69
3	22-Aug-1871 06:00:00	69
3	22-Aug-1871 12:00:00	69
3	22-Aug-1871 18:00:00	69
3	23-Aug-1871 00:00:00	69
3	23-Aug-1871 06:00:00	58
3	23-Aug-1871 12:00:00	46
3	23-Aug-1871 18:00:00	35
##  4	NOT NAMED	M = 56	SNBR =  140
4	17-Aug-1871 00:00:00	46
4	17-Aug-1871 06:00:00	46
4	17-Aug-1871 12:00:00	46
4	17-Aug-1871 18:00:00	46
4	18-Aug-1871 00:00:00	58
4	18-Aug-1871 06:00:00	58
4	18-Aug-1871 12:00:00	58
4	18-Aug-1871 18:00:00	58
4	19-Aug-1871 00:00:00	69
4	19-Aug-1871 06:00:00	69
4	19-Aug-1871 12:00:00	81
4	19-Aug-1871 18:00:00	81
4	20-Aug-1871 00:00:00	92
4	20-Aug-1871 06:00:00	92
4	20-Aug-1871 12:00:00	104
4	20-Aug-1871 18:00:00	104
4	21-Aug-1871 00:00:00	115
4	21-Aug-1871 06:00:00	115
4	21-Aug-1871 12:00:00	115
4	21-Aug-1871 18:00:00	115
4	22-Aug-1871 00:00:00	115
4	22-Aug-1871 06:00:00	115
4	22-Aug-1871 12:00:00	104
4	22-Aug-1871 18:00:00	104
4	23-Aug-1871 00:00:00	104
4	23-Aug-1871 06:00:00	104
4	23-Aug-1871 12:00:00	104
4	23-Aug-1871 18:00:00	104
4	24-Aug-1871 00:00:00	104
4	24-Aug-1871 06:00:00	104
4	24-Aug-1871 12:00:00	104
4	24-Aug-1871 18:00:00	104
4	25-Aug-1871 00:00:00	104
4	25-Aug-1871 06:00:00	104
4	25-Aug-1871 12:00:00	81
4	25-Aug-1871 18:00:00	58
4	26-Aug-1871 00:00:00	46
4	26-Aug-1871 06:00:00	46
4	26-Aug-1871 12:00:00	46
4	26-Aug-1871 18:00:00	46
4	27-Aug-1871 00:00:00	35
4	27-Aug-1871 06:00:00	35
4	27-Aug-1871 12:00:00	35
4	27-Aug-1871 18:00:00	35
4	28-Aug-1871 00:00:00	35
4	28-Aug-1871 06:00:00	35
4	28-Aug-1871 12:00:00	35
4	28-Aug-1871 18:00:00	35
4	29-Aug-1871 00:00:00	46
4	29-Aug-1871 06:00:00	46
4	29-Aug-1871 12:00:00	58
4	29-Aug-1871 18:00:00	58
4	30-Aug-1871 00:00:00	58
4	30-Aug-1871 06:00:00	58
4	30-Aug-1871 12:00:00	69
4	30-Aug-1871 18:00:00	69
##  5	NOT NAMED	M = 16	SNBR =  141
5	30-Aug-1871 00:00:00	104
5	30-Aug-1871 06:00:00	104
5	30-Aug-1871 12:00:00	104
5	30-Aug-1871 18:00:00	104
5	31-Aug-1871 00:00:00	104
5	31-Aug-1871 06:00:00	104
5	31-Aug-1871 12:00:00	104
5	31-Aug-1871 18:00:00	104
5	01-Sep-1871 00:00:00	104
5	01-Sep-1871 06:00:00	104
5	01-Sep-1871 12:00:00	104
5	01-Sep-1871 18:00:00	104
5	02-Sep-1871 00:00:00	104
5	02-Sep-1871 06:00:00	104
5	02-Sep-1871 12:00:00	104
5	02-Sep-1871 18:00:00	104
##  6	NOT NAMED	M = 16	SNBR =  142
6	05-Sep-1871 00:00:00	81
6	05-Sep-1871 06:00:00	81
6	05-Sep-1871 12:00:00	81
6	05-Sep-1871 18:00:00	81
6	06-Sep-1871 00:00:00	81
6	06-Sep-1871 06:00:00	81
6	06-Sep-1871 12:00:00	81
6	06-Sep-1871 18:00:00	58
6	07-Sep-1871 00:00:00	58
6	07-Sep-1871 06:00:00	58
6	07-Sep-1871 12:00:00	69
6	07-Sep-1871 18:00:00	69
6	08-Sep-1871 00:00:00	69
6	08-Sep-1871 06:00:00	69
6	08-Sep-1871 12:00:00	69
6	08-Sep-1871 18:00:00	69
##  7	NOT NAMED	M = 32	SNBR =  143
7	30-Sep-1871 00:00:00	46
7	30-Sep-1871 06:00:00	46
7	30-Sep-1871 12:00:00	46
7	30-Sep-1871 18:00:00	46
7	01-Oct-1871 00:00:00	58
7	01-Oct-1871 06:00:00	58
7	01-Oct-1871 12:00:00	69
7	01-Oct-1871 18:00:00	69
7	02-Oct-1871 00:00:00	81
7	02-Oct-1871 06:00:00	81
7	02-Oct-1871 12:00:00	81
7	02-Oct-1871 18:00:00	81
7	03-Oct-1871 00:00:00	81
7	03-Oct-1871 06:00:00	81
7	03-Oct-1871 12:00:00	81
7	03-Oct-1871 18:00:00	81
7	04-Oct-1871 00:00:00	81
7	04-Oct-1871 06:00:00	81
7	04-Oct-1871 12:00:00	81
7	04-Oct-1871 18:00:00	81
7	05-Oct-1871 00:00:00	69
7	05-Oct-1871 06:00:00	69
7	05-Oct-1871 12:00:00	69
7	05-Oct-1871 18:00:00	58
7	06-Oct-1871 00:00:00	46
7	06-Oct-1871 06:00:00	46
7	06-Oct-1871 12:00:00	46
7	06-Oct-1871 18:00:00	46
7	07-Oct-1871 00:00:00	46
7	07-Oct-1871 06:00:00	46
7	07-Oct-1871 12:00:00	46
7	07-Oct-1871 18:00:00	46
##  8	NOT NAMED	M = 14	SNBR =  144
8	10-Oct-1871 00:00:00	81
8	10-Oct-1871 06:00:00	81
8	10-Oct-1871 12:00:00	81
8	10-Oct-1871 18:00:00	81
8	11-Oct-1871 00:00:00	81
8	11-Oct-1871 06:00:00	81
8	11-Oct-1871 12:00:00	81
8	11-Oct-1871 18:00:00	81
8	12-Oct-1871 00:00:00	81
8	12-Oct-1871 06:00:00	81
8	12-Oct-1871 12:00:00	81
8	12-Oct-1871 18:00:00	81
8	13-Oct-1871 00:00:00	81
8	13-Oct-1871 06:00:00	58
##  1	NOT NAMED	M = 20	SNBR =  145
1	09-Jul-1872 00:00:00	46
1	09-Jul-1872 06:00:00	46
1	09-Jul-1872 12:00:00	46
1	09-Jul-1872 18:00:00	46
1	10-Jul-1872 00:00:00	58
1	10-Jul-1872 06:00:00	58
1	10-Jul-1872 12:00:00	58
1	10-Jul-1872 18:00:00	58
1	11-Jul-1872 00:00:00	58
1	11-Jul-1872 06:00:00	58
1	11-Jul-1872 12:00:00	58
1	11-Jul-1872 18:00:00	58
1	12-Jul-1872 00:00:00	46
1	12-Jul-1872 06:00:00	46
1	12-Jul-1872 12:00:00	46
1	12-Jul-1872 18:00:00	46
1	13-Jul-1872 00:00:00	35
1	13-Jul-1872 06:00:00	35
1	13-Jul-1872 12:00:00	35
1	13-Jul-1872 18:00:00	35
##  2	NOT NAMED	M = 56	SNBR =  146
2	20-Aug-1872 00:00:00	46
2	20-Aug-1872 06:00:00	46
2	20-Aug-1872 12:00:00	46
2	20-Aug-1872 18:00:00	46
2	21-Aug-1872 00:00:00	46
2	21-Aug-1872 06:00:00	46
2	21-Aug-1872 12:00:00	46
2	21-Aug-1872 18:00:00	46
2	22-Aug-1872 00:00:00	58
2	22-Aug-1872 06:00:00	58
2	22-Aug-1872 12:00:00	58
2	22-Aug-1872 18:00:00	58
2	23-Aug-1872 00:00:00	69
2	23-Aug-1872 06:00:00	69
2	23-Aug-1872 12:00:00	69
2	23-Aug-1872 18:00:00	69
2	24-Aug-1872 00:00:00	81
2	24-Aug-1872 06:00:00	81
2	24-Aug-1872 12:00:00	81
2	24-Aug-1872 18:00:00	81
2	25-Aug-1872 00:00:00	81
2	25-Aug-1872 06:00:00	81
2	25-Aug-1872 12:00:00	81
2	25-Aug-1872 18:00:00	81
2	26-Aug-1872 00:00:00	81
2	26-Aug-1872 06:00:00	81
2	26-Aug-1872 12:00:00	81
2	26-Aug-1872 18:00:00	81
2	27-Aug-1872 00:00:00	81
2	27-Aug-1872 06:00:00	81
2	27-Aug-1872 12:00:00	81
2	27-Aug-1872 18:00:00	81
2	28-Aug-1872 00:00:00	92
2	28-Aug-1872 06:00:00	92
2	28-Aug-1872 12:00:00	92
2	28-Aug-1872 18:00:00	92
2	29-Aug-1872 00:00:00	104
2	29-Aug-1872 06:00:00	104
