Number	Timestamp	Windspeed
##  1	ABLE	M = 39	SNBR =  804
1	15-May-1951 06:00:00	29
1	15-May-1951 12:00:00	29
1	15-May-1951 18:00:00	29
1	16-May-1951 00:00:00	29
1	16-May-1951 06:00:00	35
1	16-May-1951 12:00:00	35
1	16-May-1951 18:00:00	40
1	17-May-1951 00:00:00	46
1	17-May-1951 06:00:00	63
1	17-May-1951 12:00:00	75
1	17-May-1951 18:00:00	75
1	18-May-1951 00:00:00	81
1	18-May-1951 06:00:00	81
1	18-May-1951 12:00:00	86
1	18-May-1951 18:00:00	92
1	19-May-1951 00:00:00	92
1	19-May-1951 06:00:00	92
1	19-May-1951 12:00:00	92
1	19-May-1951 18:00:00	92
1	20-May-1951 00:00:00	92
1	20-May-1951 06:00:00	98
1	20-May-1951 12:00:00	104
1	20-May-1951 18:00:00	104
1	21-May-1951 00:00:00	109
1	21-May-1951 06:00:00	115
1	21-May-1951 12:00:00	115
1	21-May-1951 18:00:00	115
1	22-May-1951 00:00:00	109
1	22-May-1951 06:00:00	104
1	22-May-1951 12:00:00	98
1	22-May-1951 18:00:00	92
1	23-May-1951 00:00:00	81
1	23-May-1951 06:00:00	69
1	23-May-1951 12:00:00	58
1	23-May-1951 18:00:00	52
1	24-May-1951 00:00:00	52
1	24-May-1951 06:00:00	52
1	24-May-1951 12:00:00	52
1	24-May-1951 18:00:00	52
##  2	BAKER	M = 15	SNBR =  805
2	02-Aug-1951 06:00:00	29
2	02-Aug-1951 12:00:00	40
2	02-Aug-1951 18:00:00	46
2	03-Aug-1951 00:00:00	52
2	03-Aug-1951 06:00:00	58
2	03-Aug-1951 12:00:00	58
2	03-Aug-1951 18:00:00	58
2	04-Aug-1951 00:00:00	58
2	04-Aug-1951 06:00:00	52
2	04-Aug-1951 12:00:00	52
2	04-Aug-1951 18:00:00	46
2	05-Aug-1951 00:00:00	46
2	05-Aug-1951 06:00:00	40
2	05-Aug-1951 12:00:00	40
2	05-Aug-1951 18:00:00	35
##  3	CHARLIE	M = 47	SNBR =  806
3	12-Aug-1951 06:00:00	29
3	12-Aug-1951 12:00:00	29
3	12-Aug-1951 18:00:00	29
3	13-Aug-1951 00:00:00	29
3	13-Aug-1951 06:00:00	29
3	13-Aug-1951 12:00:00	29
3	13-Aug-1951 18:00:00	29
3	14-Aug-1951 00:00:00	29
3	14-Aug-1951 06:00:00	29
3	14-Aug-1951 12:00:00	35
3	14-Aug-1951 18:00:00	35
3	15-Aug-1951 00:00:00	40
3	15-Aug-1951 06:00:00	52
3	15-Aug-1951 12:00:00	58
3	15-Aug-1951 18:00:00	69
3	16-Aug-1951 00:00:00	75
3	16-Aug-1951 06:00:00	81
3	16-Aug-1951 12:00:00	86
3	16-Aug-1951 18:00:00	92
3	17-Aug-1951 00:00:00	98
3	17-Aug-1951 06:00:00	109
3	17-Aug-1951 12:00:00	109
3	17-Aug-1951 18:00:00	109
3	18-Aug-1951 00:00:00	86
3	18-Aug-1951 06:00:00	92
3	18-Aug-1951 12:00:00	98
3	18-Aug-1951 18:00:00	104
3	19-Aug-1951 00:00:00	109
3	19-Aug-1951 06:00:00	115
3	19-Aug-1951 12:00:00	121
3	19-Aug-1951 18:00:00	127
3	20-Aug-1951 00:00:00	132
3	20-Aug-1951 06:00:00	132
3	20-Aug-1951 12:00:00	115
3	20-Aug-1951 18:00:00	109
3	21-Aug-1951 00:00:00	104
3	21-Aug-1951 06:00:00	104
3	21-Aug-1951 12:00:00	104
3	21-Aug-1951 18:00:00	104
3	22-Aug-1951 00:00:00	109
3	22-Aug-1951 06:00:00	127
3	22-Aug-1951 12:00:00	132
3	22-Aug-1951 18:00:00	127
3	23-Aug-1951 00:00:00	75
3	23-Aug-1951 06:00:00	52
3	23-Aug-1951 12:00:00	40
3	23-Aug-1951 18:00:00	29
##  4	DOG	M = 39	SNBR =  807
4	27-Aug-1951 06:00:00	29
4	27-Aug-1951 12:00:00	29
4	27-Aug-1951 18:00:00	29
4	28-Aug-1951 00:00:00	29
4	28-Aug-1951 06:00:00	29
4	28-Aug-1951 12:00:00	29
4	28-Aug-1951 18:00:00	29
4	29-Aug-1951 00:00:00	29
4	29-Aug-1951 06:00:00	29
