Number	Timestamp	Pressure
##  1	NOT NAMED	M = 1	SNBR =  706
1	13-Sep-1941 00:00:00	1003
##  2	NOT NAMED	M = 1	SNBR =  707
2	24-Sep-1941 00:00:00	977
##  3	NOT NAMED	M = 0	SNBR =  708
##  4	NOT NAMED	M = 1	SNBR =  709
4	28-Sep-1941 12:00:00	992
##  5	NOT NAMED	M = 0	SNBR =  710
##  6	NOT NAMED	M = 0	SNBR =  711
##  1	NOT NAMED	M = 0	SNBR =  712
##  2	NOT NAMED	M = 0	SNBR =  713
##  3	NOT NAMED	M = 0	SNBR =  714
##  4	NOT NAMED	M = 0	SNBR =  715
##  5	NOT NAMED	M = 0	SNBR =  716
##  6	NOT NAMED	M = 0	SNBR =  717
##  7	NOT NAMED	M = 0	SNBR =  718
##  8	NOT NAMED	M = 0	SNBR =  719
##  9	NOT NAMED	M = 0	SNBR =  720
## 10	NOT NAMED	M = 4	SNBR =  721
10	06-Nov-1942 12:00:00	997
10	06-Nov-1942 18:00:00	994
10	09-Nov-1942 00:00:00	992
10	10-Nov-1942 00:00:00	999
##  1	NOT NAMED	M = 0	SNBR =  722
##  2	NOT NAMED	M = 0	SNBR =  723
##  3	NOT NAMED	M = 0	SNBR =  724
##  4	NOT NAMED	M = 0	SNBR =  725
##  5	NOT NAMED	M = 0	SNBR =  726
##  6	NOT NAMED	M = 0	SNBR =  727
##  7	NOT NAMED	M = 0	SNBR =  728
##  8	NOT NAMED	M = 0	SNBR =  729
##  9	NOT NAMED	M = 0	SNBR =  730
## 10	NOT NAMED	M = 0	SNBR =  731
##  1	NOT NAMED	M = 0	SNBR =  732
##  2	NOT NAMED	M = 0	SNBR =  733
##  3	NOT NAMED	M = 1	SNBR =  734
3	01-Aug-1944 18:00:00	990
##  4	NOT NAMED	M = 1	SNBR =  735
4	18-Aug-1944 12:00:00	973
##  5	NOT NAMED	M = 0	SNBR =  736
##  6	NOT NAMED	M = 0	SNBR =  737
##  7	NOT NAMED	M = 3	SNBR =  738
7	12-Sep-1944 12:00:00	943
7	15-Sep-1944 06:00:00	966
7	15-Sep-1944 18:00:00	982
##  8	NOT NAMED	M = 0	SNBR =  739
##  9	NOT NAMED	M = 0	SNBR =  740
## 10	NOT NAMED	M = 0	SNBR =  741
## 11	NOT NAMED	M = 8	SNBR =  742
11	19-Oct-1944 12:00:00	968
11	19-Oct-1944 18:00:00	978
11	20-Oct-1944 00:00:00	983
