Number	Timestamp	Pressure
##  1	NOT NAMED	M = 0	SNBR =    1
##  2	NOT NAMED	M = 0	SNBR =    2
##  3	NOT NAMED	M = 0	SNBR =    3
##  4	NOT NAMED	M = 0	SNBR =    4
##  5	NOT NAMED	M = 0	SNBR =    5
##  6	NOT NAMED	M = 0	SNBR =    6
##  1	NOT NAMED	M = 1	SNBR =    7
1	26-Aug-1852 06:00:00	961
##  2	NOT NAMED	M = 0	SNBR =    8
##  3	NOT NAMED	M = 0	SNBR =    9
##  4	NOT NAMED	M = 0	SNBR =   10
##  5	NOT NAMED	M = 0	SNBR =   11
##  1	NOT NAMED	M = 0	SNBR =   12
##  2	NOT NAMED	M = 0	SNBR =   13
##  3	NOT NAMED	M = 1	SNBR =   14
3	03-Sep-1853 12:00:00	924
##  4	NOT NAMED	M = 0	SNBR =   15
##  5	NOT NAMED	M = 0	SNBR =   16
##  6	NOT NAMED	M = 0	SNBR =   17
##  7	NOT NAMED	M = 0	SNBR =   18
##  8	NOT NAMED	M = 0	SNBR =   19
##  1	NOT NAMED	M = 0	SNBR =   20
##  2	NOT NAMED	M = 0	SNBR =   21
##  3	NOT NAMED	M = 2	SNBR =   22
3	07-Sep-1854 12:00:00	938
3	08-Sep-1854 18:00:00	950
##  4	NOT NAMED	M = 0	SNBR =   23
##  5	NOT NAMED	M = 0	SNBR =   24
##  1	NOT NAMED	M = 0	SNBR =   25
##  2	NOT NAMED	M = 0	SNBR =   26
##  3	NOT NAMED	M = 0	SNBR =   27
##  4	NOT NAMED	M = 1	SNBR =   28
4	27-Aug-1855 00:00:00	997
##  5	NOT NAMED	M = 0	SNBR =   29
##  1	NOT NAMED	M = 1	SNBR =   30
1	10-Aug-1856 18:00:00	934
##  2	NOT NAMED	M = 0	SNBR =   31
##  3	NOT NAMED	M = 0	SNBR =   32
##  4	NOT NAMED	M = 0	SNBR =   33
##  5	NOT NAMED	M = 1	SNBR =   34
5	28-Aug-1856 06:00:00	969
##  6	NOT NAMED	M = 0	SNBR =   35
##  1	NOT NAMED	M = 0	SNBR =   36
##  2	NOT NAMED	M = 2	SNBR =   37
2	12-Sep-1857 18:00:00	961
2	16-Sep-1857 18:00:00	972
##  3	NOT NAMED	M = 0	SNBR =   38
##  4	NOT NAMED	M = 0	SNBR =   39
##  1	NOT NAMED	M = 0	SNBR =   40
##  2	NOT NAMED	M = 0	SNBR =   41
##  3	NOT NAMED	M = 1	SNBR =   42
3	16-Sep-1858 18:00:00	979
##  4	NOT NAMED	M = 0	SNBR =   43
##  5	NOT NAMED	M = 0	SNBR =   44
##  6	NOT NAMED	M = 0	SNBR =   45
##  1	NOT NAMED	M = 0	SNBR =   46
##  2	NOT NAMED	M = 0	SNBR =   47
##  3	NOT NAMED	M = 0	SNBR =   48
##  4	NOT NAMED	M = 0	SNBR =   49
##  5	NOT NAMED	M = 0	SNBR =   50
##  6	NOT NAMED	M = 1	SNBR =   51
6	06-Oct-1859 12:00:00	938
##  7	NOT NAMED	M = 0	SNBR =   52
##  8	NOT NAMED	M = 1	SNBR =   53
8	29-Oct-1859 00:00:00	989
##  1	NOT NAMED	M = 0	SNBR =   54
##  2	NOT NAMED	M = 0	SNBR =   55
##  3	NOT NAMED	M = 0	SNBR =   56
##  4	NOT NAMED	M = 0	SNBR =   57
##  5	NOT NAMED	M = 0	SNBR =   58
##  6	NOT NAMED	M = 0	SNBR =   59
##  7	NOT NAMED	M = 0	SNBR =   60
