Number	Timestamp	Pressure
##  1	NOT NAMED	M = 0	SNBR =  212
##  2	NOT NAMED	M = 0	SNBR =  213
##  3	NOT NAMED	M = 0	SNBR =  214
##  4	NOT NAMED	M = 0	SNBR =  215
##  5	NOT NAMED	M = 2	SNBR =  216
5	28-Aug-1881 00:00:00	970
5	29-Aug-1881 12:00:00	1002
##  6	NOT NAMED	M = 1	SNBR =  217
6	09-Sep-1881 18:00:00	975
##  7	NOT NAMED	M = 0	SNBR =  218
##  1	NOT NAMED	M = 0	SNBR =  219
##  2	NOT NAMED	M = 4	SNBR =  220
2	07-Sep-1882 00:00:00	981
2	09-Sep-1882 18:00:00	961
2	10-Sep-1882 00:00:00	949
2	12-Sep-1882 12:00:00	1000
##  3	NOT NAMED	M = 0	SNBR =  221
##  4	NOT NAMED	M = 1	SNBR =  222
4	23-Sep-1882 06:00:00	1005
##  5	NOT NAMED	M = 0	SNBR =  223
##  6	NOT NAMED	M = 0	SNBR =  224
##  1	NOT NAMED	M = 0	SNBR =  225
##  2	NOT NAMED	M = 2	SNBR =  226
2	30-Aug-1883 12:00:00	983
2	02-Sep-1883 06:00:00	963
##  3	NOT NAMED	M = 0	SNBR =  227
##  4	NOT NAMED	M = 0	SNBR =  228
##  1	NOT NAMED	M = 0	SNBR =  229
##  2	NOT NAMED	M = 1	SNBR =  230
2	07-Sep-1884 12:00:00	957
##  3	NOT NAMED	M = 4	SNBR =  231
3	15-Sep-1884 00:00:00	982
3	16-Sep-1884 06:00:00	988
3	18-Sep-1884 06:00:00	979
3	19-Sep-1884 06:00:00	982
##  4	NOT NAMED	M = 0	SNBR =  232
##  1	NOT NAMED	M = 3	SNBR =  233
1	09-Aug-1885 12:00:00	990
1	09-Aug-1885 18:00:00	981
1	10-Aug-1885 12:00:00	983
##  2	NOT NAMED	M = 2	SNBR =  234
2	25-Aug-1885 12:00:00	970
2	27-Aug-1885 00:00:00	958
##  3	NOT NAMED	M = 0	SNBR =  235
##  4	NOT NAMED	M = 0	SNBR =  236
##  5	NOT NAMED	M = 1	SNBR =  237
5	18-Sep-1885 12:00:00	999
##  6	NOT NAMED	M = 0	SNBR =  238
##  7	NOT NAMED	M = 0	SNBR =  239
##  8	NOT NAMED	M = 0	SNBR =  240
##  1	NOT NAMED	M = 0	SNBR =  241
##  2	NOT NAMED	M = 0	SNBR =  242
##  3	NOT NAMED	M = 0	SNBR =  243
##  4	NOT NAMED	M = 1	SNBR =  244
4	21-Jul-1886 18:00:00	990
##  5	NOT NAMED	M = 2	SNBR =  245
5	20-Aug-1886 12:00:00	925
5	20-Aug-1886 18:00:00	965
##  6	NOT NAMED	M = 0	SNBR =  246
##  7	NOT NAMED	M = 0	SNBR =  247
##  8	NOT NAMED	M = 0	SNBR =  248
##  9	NOT NAMED	M = 0	SNBR =  249
## 10	NOT NAMED	M = 0	SNBR =  250
## 11	NOT NAMED	M = 0	SNBR =  251
## 12	NOT NAMED	M = 0	SNBR =  252
##  1	NOT NAMED	M = 0	SNBR =  253
##  2	NOT NAMED	M = 0	SNBR =  254
##  3	NOT NAMED	M = 0	SNBR =  255
##  4	NOT NAMED	M = 0	SNBR =  256
##  5	NOT NAMED	M = 0	SNBR =  257
##  6	NOT NAMED	M = 1	SNBR =  258
6	23-Aug-1887 12:00:00	972
##  7	NOT NAMED	M = 0	SNBR =  259
##  8	NOT NAMED	M = 1	SNBR =  260
8	04-Sep-1887 00:00:00	963
##  9	NOT NAMED	M = 1	SNBR =  261
9	21-Sep-1887 18:00:00	973
## 10	NOT NAMED	M = 1	SNBR =  262
10	18-Sep-1887 00:00:00	983
## 11	NOT NAMED	M = 0	SNBR =  263
## 12	NOT NAMED	M = 0	SNBR =  264
## 13	NOT NAMED	M = 0	SNBR =  265
## 14	NOT NAMED	M = 0	SNBR =  266
## 15	NOT NAMED	M = 0	SNBR =  267
## 16	NOT NAMED	M = 2	SNBR =  268
16	31-Oct-1887 18:00:00	993
16	05-Nov-1887 06:00:00	990
## 17	NOT NAMED	M = 0	SNBR =  269
## 18	NOT NAMED	M = 0	SNBR =  270
## 19	NOT NAMED	M = 0	SNBR =  271
##  1	NOT NAMED	M = 0	SNBR =  272
##  2	NOT NAMED	M = 0	SNBR =  273
##  3	NOT NAMED	M = 0	SNBR =  274
##  4	NOT NAMED	M = 0	SNBR =  275
##  5	NOT NAMED	M = 2	SNBR =  276
5	08-Sep-1888 12:00:00	1002
5	09-Sep-1888 06:00:00	999
##  6	NOT NAMED	M = 1	SNBR =  277
6	26-Sep-1888 12:00:00	985
##  7	NOT NAMED	M = 1	SNBR =  278
7	11-Oct-1888 00:00:00	970
##  8	NOT NAMED	M = 0	SNBR =  279
##  9	NOT NAMED	M = 0	SNBR =  280
##  1	NOT NAMED	M = 0	SNBR =  281
##  2	NOT NAMED	M = 0	SNBR =  282
##  3	NOT NAMED	M = 0	SNBR =  283
##  4	NOT NAMED	M = 0	SNBR =  284
##  5	NOT NAMED	M = 0	SNBR =  285
##  6	NOT NAMED	M = 0	SNBR =  286
##  7	NOT NAMED	M = 0	SNBR =  287
##  8	NOT NAMED	M = 0	SNBR =  288
##  9	NOT NAMED	M = 0	SNBR =  289
##  1	NOT NAMED	M = 0	SNBR =  290
##  2	NOT NAMED	M = 0	SNBR =  291
##  3	NOT NAMED	M = 0	SNBR =  292
##  4	NOT NAMED	M = 0	SNBR =  293
