Number	Timestamp	Pressure
##  1	NOT NAMED	M = 0	SNBR =   61
##  2	NOT NAMED	M = 0	SNBR =   62
##  3	NOT NAMED	M = 0	SNBR =   63
##  4	NOT NAMED	M = 0	SNBR =   64
##  5	NOT NAMED	M = 0	SNBR =   65
##  6	NOT NAMED	M = 0	SNBR =   66
##  7	NOT NAMED	M = 0	SNBR =   67
##  8	NOT NAMED	M = 2	SNBR =   68
8	03-Nov-1861 12:00:00	1000
8	03-Nov-1861 18:00:00	999
##  1	NOT NAMED	M = 0	SNBR =   69
##  2	NOT NAMED	M = 0	SNBR =   70
##  3	NOT NAMED	M = 0	SNBR =   71
##  4	NOT NAMED	M = 0	SNBR =   72
##  5	NOT NAMED	M = 0	SNBR =   73
##  6	NOT NAMED	M = 0	SNBR =   74
##  1	NOT NAMED	M = 0	SNBR =   75
##  2	NOT NAMED	M = 0	SNBR =   76
##  3	NOT NAMED	M = 1	SNBR =   77
3	22-Aug-1863 12:00:00	975
##  4	NOT NAMED	M = 0	SNBR =   78
##  5	NOT NAMED	M = 0	SNBR =   79
##  6	NOT NAMED	M = 0	SNBR =   80
##  7	NOT NAMED	M = 0	SNBR =   81
##  8	NOT NAMED	M = 0	SNBR =   82
##  9	NOT NAMED	M = 0	SNBR =   83
##  1	NOT NAMED	M = 0	SNBR =   84
##  2	NOT NAMED	M = 0	SNBR =   85
##  3	NOT NAMED	M = 0	SNBR =   86
##  4	NOT NAMED	M = 0	SNBR =   87
##  5	NOT NAMED	M = 0	SNBR =   88
##  1	NOT NAMED	M = 0	SNBR =   89
##  2	NOT NAMED	M = 0	SNBR =   90
##  3	NOT NAMED	M = 0	SNBR =   91
##  4	NOT NAMED	M = 0	SNBR =   92
##  5	NOT NAMED	M = 0	SNBR =   93
##  6	NOT NAMED	M = 0	SNBR =   94
##  7	NOT NAMED	M = 1	SNBR =   95
7	23-Oct-1865 00:00:00	975
##  1	NOT NAMED	M = 0	SNBR =   96
##  2	NOT NAMED	M = 0	SNBR =   97
##  3	NOT NAMED	M = 0	SNBR =   98
##  4	NOT NAMED	M = 0	SNBR =   99
##  5	NOT NAMED	M = 0	SNBR =  100
##  6	NOT NAMED	M = 1	SNBR =  101
6	02-Oct-1866 00:00:00	938
##  7	NOT NAMED	M = 0	SNBR =  102
##  1	NOT NAMED	M = 0	SNBR =  103
##  2	NOT NAMED	M = 1	SNBR =  104
2	02-Aug-1867 12:00:00	969
##  3	NOT NAMED	M = 0	SNBR =  105
##  4	NOT NAMED	M = 0	SNBR =  106
##  5	NOT NAMED	M = 0	SNBR =  107
##  6	NOT NAMED	M = 0	SNBR =  108
##  7	NOT NAMED	M = 0	SNBR =  109
##  8	NOT NAMED	M = 0	SNBR =  110
##  9	NOT NAMED	M = 1	SNBR =  111
9	29-Oct-1867 18:00:00	952
##  1	NOT NAMED	M = 0	SNBR =  112
##  2	NOT NAMED	M = 0	SNBR =  113
##  3	NOT NAMED	M = 0	SNBR =  114
##  4	NOT NAMED	M = 0	SNBR =  115
##  1	NOT NAMED	M = 0	SNBR =  116
##  2	NOT NAMED	M = 0	SNBR =  117
##  3	NOT NAMED	M = 0	SNBR =  118
##  4	NOT NAMED	M = 0	SNBR =  119
##  5	NOT NAMED	M = 0	SNBR =  120
##  6	NOT NAMED	M = 2	SNBR =  121
6	08-Sep-1869 18:00:00	950
6	09-Sep-1869 00:00:00	973
##  7	NOT NAMED	M = 1	SNBR =  122
7	15-Sep-1869 18:00:00	979
##  8	NOT NAMED	M = 0	SNBR =  123
##  9	NOT NAMED	M = 0	SNBR =  124
## 10	NOT NAMED	M = 0	SNBR =  125
##  1	NOT NAMED	M = 0	SNBR =  126
##  2	NOT NAMED	M = 0	SNBR =  127
##  3	NOT NAMED	M = 1	SNBR =  128
3	04-Sep-1870 12:00:00	1004
##  4	NOT NAMED	M = 1	SNBR =  129
4	12-Sep-1870 00:00:00	948
##  5	NOT NAMED	M = 1	SNBR =  130
5	19-Sep-1870 00:00:00	969
##  6	NOT NAMED	M = 1	SNBR =  131
6	07-Oct-1870 12:00:00	959
##  7	NOT NAMED	M = 0	SNBR =  132
##  8	NOT NAMED	M = 0	SNBR =  133
##  9	NOT NAMED	M = 0	SNBR =  134
## 10	NOT NAMED	M = 0	SNBR =  135
## 11	NOT NAMED	M = 0	SNBR =  136
