Number	Timestamp	Pressure
##  1	NOT NAMED	M = 0	SNBR =  591
##  2	NOT NAMED	M = 1	SNBR =  592
2	15-Jul-1931 12:00:00	1000
##  3	NOT NAMED	M = 0	SNBR =  593
##  4	NOT NAMED	M = 0	SNBR =  594
##  5	NOT NAMED	M = 0	SNBR =  595
##  6	NOT NAMED	M = 0	SNBR =  596
##  7	NOT NAMED	M = 1	SNBR =  597
7	11-Sep-1931 00:00:00	987
##  8	NOT NAMED	M = 0	SNBR =  598
##  9	NOT NAMED	M = 0	SNBR =  599
## 10	NOT NAMED	M = 0	SNBR =  600
## 11	NOT NAMED	M = 0	SNBR =  601
## 12	NOT NAMED	M = 0	SNBR =  602
## 13	NOT NAMED	M = 0	SNBR =  603
##  1	NOT NAMED	M = 0	SNBR =  604
##  2	NOT NAMED	M = 4	SNBR =  605
2	14-Aug-1932 00:00:00	942
2	14-Aug-1932 06:00:00	942
2	14-Aug-1932 12:00:00	987
2	15-Aug-1932 00:00:00	1002
##  3	NOT NAMED	M = 1	SNBR =  606
3	01-Sep-1932 06:00:00	979
##  4	NOT NAMED	M = 0	SNBR =  607
##  5	NOT NAMED	M = 0	SNBR =  608
##  6	NOT NAMED	M = 0	SNBR =  609
##  7	NOT NAMED	M = 0	SNBR =  610
##  8	NOT NAMED	M = 0	SNBR =  611
##  9	NOT NAMED	M = 3	SNBR =  612
9	26-Sep-1932 12:00:00	948
9	27-Sep-1932 00:00:00	943
9	01-Oct-1932 12:00:00	1003
## 10	NOT NAMED	M = 0	SNBR =  613
## 11	NOT NAMED	M = 0	SNBR =  614
## 12	NOT NAMED	M = 0	SNBR =  615
## 13	NOT NAMED	M = 0	SNBR =  616
## 14	NOT NAMED	M = 1	SNBR =  617
14	09-Nov-1932 12:00:00	918
## 15	NOT NAMED	M = 0	SNBR =  618
##  1	NOT NAMED	M = 1	SNBR =  619
1	16-May-1933 00:00:00	1001
##  2	NOT NAMED	M = 0	SNBR =  620
##  3	NOT NAMED	M = 0	SNBR =  621
##  4	NOT NAMED	M = 0	SNBR =  622
##  5	NOT NAMED	M = 2	SNBR =  623
5	30-Jul-1933 12:00:00	988
5	05-Aug-1933 00:00:00	975
##  6	NOT NAMED	M = 4	SNBR =  624
6	18-Aug-1933 18:00:00	948
6	23-Aug-1933 12:00:00	966
6	23-Aug-1933 18:00:00	971
6	24-Aug-1933 00:00:00	978
##  7	NOT NAMED	M = 0	SNBR =  625
##  8	NOT NAMED	M = 1	SNBR =  626
8	01-Sep-1933 12:00:00	954
##  9	NOT NAMED	M = 0	SNBR =  627
## 10	NOT NAMED	M = 0	SNBR =  628
## 11	NOT NAMED	M = 2	SNBR =  629
11	03-Sep-1933 12:00:00	945
11	04-Sep-1933 06:00:00	948
## 12	NOT NAMED	M = 5	SNBR =  630
12	16-Sep-1933 12:00:00	952
12	16-Sep-1933 18:00:00	954
12	17-Sep-1933 00:00:00	959
12	17-Sep-1933 18:00:00	965
12	19-Sep-1933 12:00:00	965
## 13	NOT NAMED	M = 2	SNBR =  631
13	12-Sep-1933 12:00:00	992
13	15-Sep-1933 12:00:00	960
## 14	NOT NAMED	M = 2	SNBR =  632
14	21-Sep-1933 00:00:00	929
14	24-Sep-1933 18:00:00	960
## 15	NOT NAMED	M = 0	SNBR =  633
## 16	NOT NAMED	M = 0	SNBR =  634
## 17	NOT NAMED	M = 2	SNBR =  635
17	04-Oct-1933 18:00:00	976
17	07-Oct-1933 12:00:00	971
## 18	NOT NAMED	M = 1	SNBR =  636
18	29-Oct-1933 18:00:00	982
## 19	NOT NAMED	M = 0	SNBR =  637
## 20	NOT NAMED	M = 0	SNBR =  638
##  1	NOT NAMED	M = 2	SNBR =  639
1	13-Jun-1934 12:00:00	978
1	16-Jun-1934 18:00:00	966
##  2	NOT NAMED	M = 0	SNBR =  640
##  3	NOT NAMED	M = 0	SNBR =  641
##  4	NOT NAMED	M = 0	SNBR =  642
##  5	NOT NAMED	M = 1	SNBR =  643
5	27-Aug-1934 00:00:00	998
##  6	NOT NAMED	M = 0	SNBR =  644
##  7	NOT NAMED	M = 0	SNBR =  645
##  8	NOT NAMED	M = 0	SNBR =  646
##  9	NOT NAMED	M = 1	SNBR =  647
9	24-Sep-1934 06:00:00	1000
## 10	NOT NAMED	M = 1	SNBR =  648
10	02-Oct-1934 06:00:00	984
## 11	NOT NAMED	M = 0	SNBR =  649
## 12	NOT NAMED	M = 0	SNBR =  650
## 13	NOT NAMED	M = 0	SNBR =  651
##  1	NOT NAMED	M = 1	SNBR =  652
1	15-May-1935 12:00:00	1006
##  2	NOT NAMED	M = 0	SNBR =  653
##  3	NOT NAMED	M = 2	SNBR =  654
3	03-Sep-1935 00:00:00	892
3	06-Sep-1935 06:00:00	996
##  4	NOT NAMED	M = 0	SNBR =  655
##  5	NOT NAMED	M = 1	SNBR =  656
5	28-Sep-1935 06:00:00	955
##  6	NOT NAMED	M = 2	SNBR =  657
6	21-Oct-1935 12:00:00	995
6	24-Oct-1935 12:00:00	988
##  7	NOT NAMED	M = 3	SNBR =  658
7	02-Nov-1935 06:00:00	980
7	03-Nov-1935 12:00:00	964
7	04-Nov-1935 18:00:00	973
##  8	NOT NAMED	M = 0	SNBR =  659
##  1	NOT NAMED	M = 0	SNBR =  660
##  2	NOT NAMED	M = 0	SNBR =  661
##  3	NOT NAMED	M = 0	SNBR =  662
