Number	Timestamp	Pressure
##  1	ANNA	M = 10	SNBR =  902
1	20-Jul-1961 06:00:00	1002
1	20-Jul-1961 12:00:00	999
1	21-Jul-1961 00:00:00	1002
1	21-Jul-1961 06:00:00	992
1	22-Jul-1961 00:00:00	984
1	22-Jul-1961 06:00:00	982
1	22-Jul-1961 12:00:00	976
1	23-Jul-1961 00:00:00	990
1	23-Jul-1961 12:00:00	992
1	24-Jul-1961 00:00:00	989
##  2	BETSY	M = 15	SNBR =  903
2	03-Sep-1961 18:00:00	973
2	04-Sep-1961 00:00:00	989
2	04-Sep-1961 12:00:00	986
2	04-Sep-1961 18:00:00	982
2	05-Sep-1961 12:00:00	957
2	05-Sep-1961 18:00:00	952
2	06-Sep-1961 06:00:00	950
2	06-Sep-1961 12:00:00	945
2	06-Sep-1961 18:00:00	954
2	07-Sep-1961 12:00:00	954
2	09-Sep-1961 12:00:00	978
2	09-Sep-1961 18:00:00	976
2	10-Sep-1961 12:00:00	980
2	10-Sep-1961 18:00:00	962
2	11-Sep-1961 12:00:00	970
##  3	CARLA	M = 36	SNBR =  904
3	04-Sep-1961 06:00:00	1007
3	04-Sep-1961 12:00:00	1006
3	04-Sep-1961 18:00:00	1005
3	05-Sep-1961 00:00:00	1002
3	05-Sep-1961 06:00:00	999
3	05-Sep-1961 12:00:00	997
3	05-Sep-1961 18:00:00	993
3	06-Sep-1961 00:00:00	990
3	06-Sep-1961 06:00:00	987
3	06-Sep-1961 12:00:00	984
3	06-Sep-1961 18:00:00	981
3	07-Sep-1961 00:00:00	978
3	07-Sep-1961 06:00:00	975
3	07-Sep-1961 12:00:00	973
3	07-Sep-1961 18:00:00	970
3	08-Sep-1961 00:00:00	968
3	08-Sep-1961 06:00:00	966
3	08-Sep-1961 12:00:00	965
3	08-Sep-1961 18:00:00	962
3	09-Sep-1961 00:00:00	959
3	09-Sep-1961 06:00:00	956
3	09-Sep-1961 12:00:00	953
3	09-Sep-1961 18:00:00	948
3	10-Sep-1961 00:00:00	944
3	10-Sep-1961 06:00:00	940
3	10-Sep-1961 12:00:00	937
3	10-Sep-1961 18:00:00	936
3	11-Sep-1961 00:00:00	936
3	11-Sep-1961 06:00:00	936
3	11-Sep-1961 12:00:00	935
3	11-Sep-1961 18:00:00	931
3	12-Sep-1961 00:00:00	940
3	12-Sep-1961 06:00:00	955
3	12-Sep-1961 12:00:00	975
3	12-Sep-1961 18:00:00	979
3	13-Sep-1961 00:00:00	980
##  4	DEBBIE	M = 4	SNBR =  905
4	11-Sep-1961 12:00:00	976
4	12-Sep-1961 12:00:00	975
4	13-Sep-1961 06:00:00	980
4	16-Sep-1961 06:00:00	970
##  5	ESTHER	M = 39	SNBR =  906
5	12-Sep-1961 12:00:00	975
5	12-Sep-1961 18:00:00	967
5	13-Sep-1961 06:00:00	969
5	13-Sep-1961 12:00:00	970
5	13-Sep-1961 18:00:00	983
5	14-Sep-1961 12:00:00	975
5	14-Sep-1961 18:00:00	966
5	15-Sep-1961 00:00:00	965
5	15-Sep-1961 06:00:00	965
5	15-Sep-1961 12:00:00	966
5	15-Sep-1961 18:00:00	961
5	16-Sep-1961 00:00:00	960
5	16-Sep-1961 06:00:00	956
5	16-Sep-1961 12:00:00	949
5	16-Sep-1961 18:00:00	944
5	17-Sep-1961 00:00:00	939
5	17-Sep-1961 06:00:00	934
5	17-Sep-1961 12:00:00	930
5	17-Sep-1961 18:00:00	927
5	18-Sep-1961 00:00:00	928
5	18-Sep-1961 06:00:00	932
5	18-Sep-1961 12:00:00	938
5	18-Sep-1961 18:00:00	944
5	19-Sep-1961 00:00:00	948
5	19-Sep-1961 06:00:00	945
5	19-Sep-1961 12:00:00	942
5	19-Sep-1961 18:00:00	950
5	20-Sep-1961 00:00:00	947
5	20-Sep-1961 06:00:00	957
5	20-Sep-1961 12:00:00	949
5	20-Sep-1961 18:00:00	955
5	21-Sep-1961 00:00:00	968
5	21-Sep-1961 06:00:00	972
5	21-Sep-1961 12:00:00	978
5	22-Sep-1961 12:00:00	990
5	23-Sep-1961 00:00:00	993
5	25-Sep-1961 06:00:00	993
5	26-Sep-1961 00:00:00	996
5	26-Sep-1961 12:00:00	1002
##  6	NOT NAMED	M = 0	SNBR =  907
##  7	FRANCES	M = 16	SNBR =  908
7	30-Sep-1961 12:00:00	1007
7	30-Sep-1961 18:00:00	1006
7	01-Oct-1961 12:00:00	1004
7	02-Oct-1961 00:00:00	1010
7	02-Oct-1961 12:00:00	1011
7	02-Oct-1961 18:00:00	1010
7	03-Oct-1961 12:00:00	1010
7	04-Oct-1961 00:00:00	1005
7	04-Oct-1961 12:00:00	999
7	05-Oct-1961 00:00:00	997
7	05-Oct-1961 06:00:00	991
7	05-Oct-1961 12:00:00	974
7	06-Oct-1961 00:00:00	960
7	06-Oct-1961 12:00:00	968
7	06-Oct-1961 18:00:00	954
7	07-Oct-1961 00:00:00	948
##  8	GERDA	M = 9	SNBR =  909
8	16-Oct-1961 12:00:00	1005
8	18-Oct-1961 00:00:00	1003
8	18-Oct-1961 12:00:00	1004
8	19-Oct-1961 00:00:00	1003
8	19-Oct-1961 12:00:00	1001
8	19-Oct-1961 18:00:00	996
8	20-Oct-1961 12:00:00	987
8	21-Oct-1961 00:00:00	993
8	21-Oct-1961 12:00:00	994
##  9	HATTIE	M = 10	SNBR =  910
9	28-Oct-1961 00:00:00	991
9	28-Oct-1961 12:00:00	991
9	28-Oct-1961 18:00:00	969
9	29-Oct-1961 00:00:00	952
9	29-Oct-1961 12:00:00	963
9	30-Oct-1961 00:00:00	956
9	30-Oct-1961 06:00:00	942
9	30-Oct-1961 12:00:00	937
9	31-Oct-1961 00:00:00	920
9	31-Oct-1961 12:00:00	930
## 10	JENNY	M = 8	SNBR =  911
10	01-Nov-1961 18:00:00	1006
10	04-Nov-1961 12:00:00	1002
10	05-Nov-1961 18:00:00	991
10	06-Nov-1961 00:00:00	976
10	06-Nov-1961 18:00:00	974
10	07-Nov-1961 12:00:00	988
10	08-Nov-1961 00:00:00	985
10	09-Nov-1961 00:00:00	987
## 11	INGA	M = 4	SNBR =  912
11	05-Nov-1961 12:00:00	997
11	06-Nov-1961 00:00:00	992
11	06-Nov-1961 12:00:00	998
11	07-Nov-1961 00:00:00	1004
##  1	ALMA	M = 8	SNBR =  913
1	27-Aug-1962 06:00:00	1007
1	28-Aug-1962 00:00:00	1002
1	28-Aug-1962 12:00:00	986
1	28-Aug-1962 18:00:00	991
1	29-Aug-1962 00:00:00	988
1	29-Aug-1962 12:00:00	990
1	30-Aug-1962 00:00:00	994
1	02-Sep-1962 06:00:00	1002
##  2	BECKY	M = 0	SNBR =  914
##  3	CELIA	M = 7	SNBR =  915
3	13-Sep-1962 12:00:00	995
3	14-Sep-1962 06:00:00	1005
3	14-Sep-1962 12:00:00	1007
3	15-Sep-1962 12:00:00	1010
3	17-Sep-1962 00:00:00	1010
3	19-Sep-1962 18:00:00	1005
3	20-Sep-1962 12:00:00	1009
##  4	DAISY	M = 7	SNBR =  916
4	02-Oct-1962 06:00:00	1003
4	04-Oct-1962 00:00:00	994
4	04-Oct-1962 18:00:00	986
4	05-Oct-1962 18:00:00	969
4	06-Oct-1962 12:00:00	965
4	06-Oct-1962 18:00:00	968
4	07-Oct-1962 06:00:00	975
##  5	ELLA	M = 19	SNBR =  917
5	15-Oct-1962 00:00:00	1002
5	15-Oct-1962 18:00:00	1002
5	16-Oct-1962 00:00:00	1002
5	16-Oct-1962 18:00:00	1002
5	17-Oct-1962 00:00:00	994
5	17-Oct-1962 06:00:00	997
5	17-Oct-1962 12:00:00	992
5	17-Oct-1962 18:00:00	987
5	18-Oct-1962 06:00:00	981
5	18-Oct-1962 12:00:00	978
5	18-Oct-1962 18:00:00	976
5	19-Oct-1962 06:00:00	973
5	19-Oct-1962 12:00:00	969
5	19-Oct-1962 18:00:00	962
5	20-Oct-1962 06:00:00	960
5	20-Oct-1962 12:00:00	960
5	20-Oct-1962 18:00:00	964
5	21-Oct-1962 12:00:00	972
5	21-Oct-1962 18:00:00	950
##  1	ARLENE	M = 13	SNBR =  918
1	02-Aug-1963 18:00:00	987
1	03-Aug-1963 00:00:00	996
1	03-Aug-1963 12:00:00	1000
1	03-Aug-1963 18:00:00	988
1	04-Aug-1963 12:00:00	1007
1	05-Aug-1963 12:00:00	1011
1	06-Aug-1963 12:00:00	1012
1	08-Aug-1963 12:00:00	981
1	08-Aug-1963 18:00:00	981
1	09-Aug-1963 12:00:00	979
1	09-Aug-1963 18:00:00	974
1	10-Aug-1963 00:00:00	969
1	10-Aug-1963 12:00:00	985
##  2	BEULAH	M = 11	SNBR =  919
2	20-Aug-1963 18:00:00	1006
2	21-Aug-1963 18:00:00	1005
2	22-Aug-1963 12:00:00	994
2	23-Aug-1963 18:00:00	962
2	24-Aug-1963 06:00:00	958
2	24-Aug-1963 18:00:00	961
2	25-Aug-1963 12:00:00	985
2	25-Aug-1963 18:00:00	976
2	26-Aug-1963 00:00:00	978
2	26-Aug-1963 12:00:00	983
2	26-Aug-1963 18:00:00	979
##  3	NOT NAMED	M = 4	SNBR =  920
3	10-Sep-1963 12:00:00	1007
3	11-Sep-1963 12:00:00	1004
3	12-Sep-1963 18:00:00	992
3	14-Sep-1963 06:00:00	995
##  4	CINDY	M = 2	SNBR =  921
4	17-Sep-1963 00:00:00	996
4	17-Sep-1963 18:00:00	997
##  5	DEBRA	M = 7	SNBR =  922
5	19-Sep-1963 12:00:00	1011
5	20-Sep-1963 18:00:00	1008
5	21-Sep-1963 18:00:00	1000
5	22-Sep-1963 12:00:00	1002
5	22-Sep-1963 18:00:00	999
5	23-Sep-1963 18:00:00	999
5	24-Sep-1963 12:00:00	1011
##  6	EDITH	M = 10	SNBR =  923
6	24-Sep-1963 00:00:00	1005
6	24-Sep-1963 12:00:00	1004
6	24-Sep-1963 18:00:00	1000
6	25-Sep-1963 12:00:00	993
6	25-Sep-1963 18:00:00	990
6	26-Sep-1963 06:00:00	998
6	26-Sep-1963 12:00:00	1000
6	26-Sep-1963 18:00:00	1000
6	27-Sep-1963 06:00:00	996
6	27-Sep-1963 18:00:00	999
##  7	FLORA	M = 33	SNBR =  924
7	29-Sep-1963 12:00:00	1000
7	30-Sep-1963 12:00:00	994
7	30-Sep-1963 18:00:00	978
7	01-Oct-1963 00:00:00	981
7	01-Oct-1963 06:00:00	981
7	01-Oct-1963 12:00:00	974
7	01-Oct-1963 18:00:00	975
7	02-Oct-1963 00:00:00	970
7	02-Oct-1963 12:00:00	968
7	02-Oct-1963 18:00:00	968
7	03-Oct-1963 12:00:00	940
7	03-Oct-1963 18:00:00	944
7	04-Oct-1963 00:00:00	944
7	04-Oct-1963 06:00:00	995
7	04-Oct-1963 12:00:00	970
7	04-Oct-1963 18:00:00	970
7	05-Oct-1963 12:00:00	985
7	06-Oct-1963 12:00:00	985
7	07-Oct-1963 12:00:00	986
7	08-Oct-1963 06:00:00	989
7	08-Oct-1963 12:00:00	990
7	08-Oct-1963 18:00:00	990
7	09-Oct-1963 00:00:00	983
7	09-Oct-1963 12:00:00	975
7	09-Oct-1963 18:00:00	965
7	10-Oct-1963 00:00:00	965
7	10-Oct-1963 06:00:00	969
7	10-Oct-1963 12:00:00	969
7	10-Oct-1963 18:00:00	972
7	11-Oct-1963 06:00:00	970
7	11-Oct-1963 12:00:00	963
7	11-Oct-1963 18:00:00	963
7	12-Oct-1963 12:00:00	985
##  8	GINNY	M = 23	SNBR =  925
8	19-Oct-1963 12:00:00	1000
8	20-Oct-1963 12:00:00	983
8	22-Oct-1963 18:00:00	989
8	23-Oct-1963 00:00:00	987
8	23-Oct-1963 06:00:00	988
8	23-Oct-1963 12:00:00	995
8	23-Oct-1963 18:00:00	990
8	24-Oct-1963 00:00:00	988
8	24-Oct-1963 12:00:00	990
8	24-Oct-1963 18:00:00	987
8	25-Oct-1963 00:00:00	982
8	25-Oct-1963 12:00:00	976
8	25-Oct-1963 18:00:00	985
8	26-Oct-1963 06:00:00	988
8	26-Oct-1963 12:00:00	986
8	26-Oct-1963 18:00:00	978
8	27-Oct-1963 00:00:00	979
8	27-Oct-1963 06:00:00	980
8	27-Oct-1963 12:00:00	972
8	27-Oct-1963 18:00:00	975
8	28-Oct-1963 12:00:00	968
8	28-Oct-1963 18:00:00	963
8	29-Oct-1963 12:00:00	958
##  9	HELENA	M = 3	SNBR =  926
9	25-Oct-1963 18:00:00	1005
9	26-Oct-1963 00:00:00	1001
9	27-Oct-1963 00:00:00	1006
##  1	NOT NAMED	M = 0	SNBR =  927
##  2	NOT NAMED	M = 3	SNBR =  928
2	29-Jul-1964 12:00:00	1006
2	30-Jul-1964 18:00:00	1012
2	31-Jul-1964 12:00:00	1012
##  3	ABBY	M = 1	SNBR =  929
3	07-Aug-1964 18:00:00	1000
##  4	BRENDA	M = 5	SNBR =  930
4	08-Aug-1964 12:00:00	1008
4	09-Aug-1964 00:00:00	1010
4	09-Aug-1964 12:00:00	1008
4	09-Aug-1964 18:00:00	1006
4	10-Aug-1964 12:00:00	1010
##  5	CLEO	M = 21	SNBR =  931
5	20-Aug-1964 18:00:00	1003
5	21-Aug-1964 06:00:00	1000
5	21-Aug-1964 18:00:00	993
5	22-Aug-1964 00:00:00	993
5	22-Aug-1964 12:00:00	970
5	22-Aug-1964 18:00:00	962
5	23-Aug-1964 00:00:00	955
5	23-Aug-1964 18:00:00	950
5	24-Aug-1964 00:00:00	950
5	26-Aug-1964 18:00:00	987
5	27-Aug-1964 00:00:00	984
5	27-Aug-1964 06:00:00	968
5	27-Aug-1964 12:00:00	971
