Number	Timestamp	Pressure
##  1	NOT NAMED	M = 0	SNBR =  379
##  2	NOT NAMED	M = 0	SNBR =  380
##  3	NOT NAMED	M = 0	SNBR =  381
##  4	NOT NAMED	M = 1	SNBR =  382
4	15-Aug-1901 18:00:00	973
##  5	NOT NAMED	M = 0	SNBR =  383
##  6	NOT NAMED	M = 0	SNBR =  384
##  7	NOT NAMED	M = 0	SNBR =  385
##  8	NOT NAMED	M = 0	SNBR =  386
##  9	NOT NAMED	M = 0	SNBR =  387
## 10	NOT NAMED	M = 0	SNBR =  388
## 11	NOT NAMED	M = 0	SNBR =  389
## 12	NOT NAMED	M = 0	SNBR =  390
## 13	NOT NAMED	M = 0	SNBR =  391
##  1	NOT NAMED	M = 0	SNBR =  392
##  2	NOT NAMED	M = 0	SNBR =  393
##  3	NOT NAMED	M = 0	SNBR =  394
##  4	NOT NAMED	M = 1	SNBR =  395
4	07-Oct-1902 06:00:00	970
##  5	NOT NAMED	M = 0	SNBR =  396
##  1	NOT NAMED	M = 0	SNBR =  397
##  2	NOT NAMED	M = 3	SNBR =  398
2	09-Aug-1903 06:00:00	970
2	12-Aug-1903 06:00:00	958
2	15-Aug-1903 06:00:00	986
##  3	NOT NAMED	M = 2	SNBR =  399
3	11-Sep-1903 18:00:00	976
3	12-Sep-1903 12:00:00	988
##  4	NOT NAMED	M = 1	SNBR =  400
4	16-Sep-1903 12:00:00	990
##  5	NOT NAMED	M = 0	SNBR =  401
##  6	NOT NAMED	M = 0	SNBR =  402
##  7	NOT NAMED	M = 0	SNBR =  403
##  8	NOT NAMED	M = 0	SNBR =  404
##  9	NOT NAMED	M = 0	SNBR =  405
## 10	NOT NAMED	M = 0	SNBR =  406
##  1	NOT NAMED	M = 0	SNBR =  407
##  2	NOT NAMED	M = 0	SNBR =  408
##  3	NOT NAMED	M = 0	SNBR =  409
##  4	NOT NAMED	M = 0	SNBR =  410
##  5	NOT NAMED	M = 0	SNBR =  411
##  6	NOT NAMED	M = 0	SNBR =  412
##  1	NOT NAMED	M = 0	SNBR =  413
##  2	NOT NAMED	M = 0	SNBR =  414
##  3	NOT NAMED	M = 0	SNBR =  415
##  4	NOT NAMED	M = 1	SNBR =  416
4	11-Oct-1905 18:00:00	945
##  5	NOT NAMED	M = 0	SNBR =  417
##  1	NOT NAMED	M = 0	SNBR =  418
##  2	NOT NAMED	M = 1	SNBR =  419
2	17-Jun-1906 06:00:00	979
##  3	NOT NAMED	M = 0	SNBR =  420
##  4	NOT NAMED	M = 1	SNBR =  421
4	11-Sep-1906 00:00:00	950
##  5	NOT NAMED	M = 1	SNBR =  422
5	17-Sep-1906 18:00:00	977
##  6	NOT NAMED	M = 2	SNBR =  423
6	26-Sep-1906 12:00:00	953
6	27-Sep-1906 12:00:00	958
##  7	NOT NAMED	M = 0	SNBR =  424
##  8	NOT NAMED	M = 1	SNBR =  425
8	18-Oct-1906 12:00:00	953
##  9	NOT NAMED	M = 0	SNBR =  426
## 10	NOT NAMED	M = 0	SNBR =  427
## 11	NOT NAMED	M = 0	SNBR =  428
##  1	NOT NAMED	M = 0	SNBR =  429
##  2	NOT NAMED	M = 0	SNBR =  430
##  3	NOT NAMED	M = 0	SNBR =  431
##  4	NOT NAMED	M = 0	SNBR =  432
##  5	NOT NAMED	M = 0	SNBR =  433
##  1	NOT NAMED	M = 0	SNBR =  434
##  2	NOT NAMED	M = 1	SNBR =  435
2	29-May-1908 18:00:00	989
##  3	NOT NAMED	M = 0	SNBR =  436
##  4	NOT NAMED	M = 0	SNBR =  437
##  5	NOT NAMED	M = 0	SNBR =  438
##  6	NOT NAMED	M = 0	SNBR =  439
##  7	NOT NAMED	M = 0	SNBR =  440
##  8	NOT NAMED	M = 0	SNBR =  441
##  9	NOT NAMED	M = 0	SNBR =  442
## 10	NOT NAMED	M = 0	SNBR =  443
##  1	NOT NAMED	M = 0	SNBR =  444
##  2	NOT NAMED	M = 1	SNBR =  445
2	29-Jun-1909 18:00:00	972
##  3	NOT NAMED	M = 0	SNBR =  446
##  4	NOT NAMED	M = 2	SNBR =  447
4	20-Jul-1909 18:00:00	985
4	21-Jul-1909 18:00:00	959
##  5	NOT NAMED	M = 1	SNBR =  448
5	07-Aug-1909 12:00:00	1004
##  6	NOT NAMED	M = 0	SNBR =  449
##  7	NOT NAMED	M = 0	SNBR =  450
##  8	NOT NAMED	M = 0	SNBR =  451
##  9	NOT NAMED	M = 2	SNBR =  452
9	17-Sep-1909 18:00:00	976
9	21-Sep-1909 00:00:00	952
## 10	NOT NAMED	M = 0	SNBR =  453
## 11	NOT NAMED	M = 1	SNBR =  454
11	11-Oct-1909 18:00:00	957
## 12	NOT NAMED	M = 0	SNBR =  455
##  1	NOT NAMED	M = 0	SNBR =  456
##  2	NOT NAMED	M = 0	SNBR =  457
##  3	NOT NAMED	M = 0	SNBR =  458
##  4	NOT NAMED	M = 0	SNBR =  459
##  5	NOT NAMED	M = 3	SNBR =  460
5	14-Oct-1910 06:00:00	960
5	17-Oct-1910 00:00:00	924
5	17-Oct-1910 18:00:00	941
5	18-Oct-1910 06:00:00	955
